user,text,date,emotion,sentiment
@_FerZam,"Mucha paz en mi vida. Aunque llegar a este punto no fue nada fácil, pero lograrlo es lo más satisfactorio. Ando como muy optimista, sin darle importancia a cosas que antes me rompían la cabeza. Ay no, ya soy otra.","Jan 6, 2024 · 3:10 AM UTC",optimistic,joyful
@Chaconnacho1,"El optimista está bien con lo que hay, al pesimista le parece una mierda lo que hay porq confía en que mucho mas","Jan 6, 2024 · 3:09 AM UTC",optimistic,joyful
@v3nus_gxddess,les juro que trato de ser optimista,"Jan 6, 2024 · 2:46 AM UTC",optimistic,joyful
@petroskymora,Mi presidente petro y mi presidente Eduardo Méndez  me tienen muy feliz y optimista este 2024 @SantaFe @petrogustavo 🇦🇹🇨🇴,"Jan 6, 2024 · 2:46 AM UTC",optimistic,joyful
@MelSupernova,Mi primer artículo del año es super optimista. Todavía no lo entrego y yo creo que ya será hasta después del fin de semana que lo haga.   Pero me impacta como me sale el optimismo cuando veo las tendencias.,"Jan 6, 2024 · 2:44 AM UTC",optimistic,joyful
@deusmercurius,Llegué en Cartagena de Indias por trabajo de nuevo y sentí un cambio. Hay una autoridad trabajando y siento gente al menos optimista con un gobierno de la Ciudad con ganas de orden y obras.,"Jan 6, 2024 · 2:36 AM UTC",optimistic,joyful
@NegroOptimista,1 año más sin ser rey mago 🙏🏼,"Jan 6, 2024 · 2:17 AM UTC",optimistic,joyful
@Edison747sp,"Se puede ser optimista, pero no pendejo. Estos días varias amistades, estaban seguro que este año... Será el año que se acabe el régimen.  Lo dicen con una seguridad que parece una locura.  Espero estar equivocado con ellos, pero la realidad es otra","Jan 6, 2024 · 2:15 AM UTC",optimistic,joyful
@Yaramsi3,"""El pesimista se queja del viento; el optimista espera que cambie; el realista ajusta las velas"". William George Ward.  #UnidosTodosX #DeZurdaTeam","Jan 6, 2024 · 2:12 AM UTC",optimistic,joyful
@tatianasm06,"Por la película dije ""Nando Parrado tiene que ser sagitariano, qué tipo optimista"". Busco su fecha de nacimiento: 09 de diciembre. Si conoceré mi signo.","Jan 6, 2024 · 2:10 AM UTC",optimistic,joyful
@camizhope94,"A las 10 pm se me dio por ponerme a aprenderme un paso de una coreo de kpop,  lo positivo si me salio el paso, lo negativo me dolio la rodilla","Jan 6, 2024 · 3:18 AM UTC",optimistic,joyful
@valeen_asensi,"vamo a la plazaaa.  nos buscan a tres cuadras, male sal pero al menos amdamo en moto lado positivo @roldangabb","Jan 6, 2024 · 3:15 AM UTC",optimistic,joyful
@criptoAI,"3:00  BTC nublado☁️ 82 % ETH nublado☁️ 7 %  Cuando el sol atraviesa las nubes, puede verse como un signo positivo para el mercado de Bitcoin, excitando el entusiasmo entre los inversores.","Jan 6, 2024 · 3:10 AM UTC",optimistic,joyful
