user,text,date,emotion,sentiment
@VannyaAlcazar,Es que ya quiero hacer mi tarea pero contestarle es más divertido,"Jan 6, 2024 · 3:27 AM UTC",playful,joyful
@monicaemeemee,Fui a la feria con Sebastiano y fue muy cagado y divertido. 🥰,"Jan 6, 2024 · 3:27 AM UTC",playful,joyful
@andrespmorales,El sexo es muy divertido pero el amor no tanto.,"Jan 6, 2024 · 3:24 AM UTC",playful,joyful
@iam_paoxz,"se sigue sintiendo igual, pero al menos mis amigos hicieron el día súper divertido","Jan 6, 2024 · 3:23 AM UTC",playful,joyful
@lovssaki,"con megu nos burlamos de nuestros traumas, que divertido","Jan 6, 2024 · 3:21 AM UTC",playful,joyful
@facu_b,Aprendí a afeitarme con navaja y realmente es lo más divertido del mundo...,"Jan 6, 2024 · 3:21 AM UTC",playful,joyful
@BvgattiGofio,"Cristianos, no sé compliquen y empiecen a creer en el horóscopo, es más divertido y tiene animalitos","Jan 6, 2024 · 3:20 AM UTC",playful,joyful
@puroluchitas,"Es bastante divertido ver los shows de #CMLL. Me gusta su estilo de lucha, no hay luchas malas y el público grita como loco.","Jan 6, 2024 · 3:20 AM UTC",playful,joyful
@jessicadaaiana,Me parece más divertido ver a las furiosas cocinar que a los boludos bailando #granhermano,"Jan 6, 2024 · 3:19 AM UTC",playful,joyful
@ximzzg,Q divertido el fútbol de mi pueblo puros cuentasos nomás,"Jan 6, 2024 · 3:18 AM UTC",playful,joyful
@DanniElTravieso,"Compra barato en un lugar caro, pero nunca compres caro, en un lugar barato.🙌","Jan 6, 2024 · 3:11 AM UTC",playful,joyful
@daniguerraaa,Las personas con Android son las más infieles,"Jan 6, 2024 · 12:55 AM UTC",playful,joyful
@ma1gicmushro0ms,quiero ir a ver a mi travieso Scott,"Jan 6, 2024 · 12:20 AM UTC",playful,joyful
@SpinolaTravieso,Que rico estuvo esta semana en Orlando,"Jan 5, 2024 · 10:55 PM UTC",playful,joyful
@axozernice,nmmn ya no habia visto al mateo y ya es muy grande y más travieso 😭,"Jan 5, 2024 · 10:54 PM UTC",playful,joyful
