user,text,date,emotion,sentiment
@gaabedz,distante de tudo,"Jan 6, 2024 · 3:50 AM UTC",distant,mad
@whosgonnacry_,"MANO, POR QUÉ ME RECLAMAS POR ESTAR “DISTANTE”???? SOLO NO QUIERO HABLARTEEEEEEE","Jan 6, 2024 · 3:50 AM UTC",distant,mad
@KC_916,No se si soy yo o cada vez estas mas distante de mi :/,"Jan 6, 2024 · 3:47 AM UTC",distant,mad
@bianca_doveton,Desde que soy una persona fría y distante se me cuestiona todo más q antes,"Jan 6, 2024 · 3:40 AM UTC",distant,mad
@LuisPR119,"Entiendo el que nos dejaremos de ver, pero no entiendo por qué te vuelves tan distante de la noche a la mañana sin hablar antes","Jan 6, 2024 · 3:38 AM UTC",distant,mad
@infer___nals,ya weon q me diga q me kiere mandar a la chucha si anda ma distante konmigo,"Jan 6, 2024 · 3:35 AM UTC",distant,mad
@cldyqs,PQ ESTA TAN DISTANTE ME WUIEO4 MATAT,"Jan 6, 2024 · 3:27 AM UTC",distant,mad
@Anapaul5209,Distante pa' cuidar el corazóncito☺️,"Jan 6, 2024 · 3:12 AM UTC",distant,mad
@larigfc_,porque parece distante?,"Jan 6, 2024 · 2:56 AM UTC",distant,mad
@paudkw,"hpta jajaja, me empieza a gustar de verdad y ya lo siento distante","Jan 6, 2024 · 2:51 AM UTC",distant,mad
@amaneci_afilada,"Cuál es uno de sus mayores sueños en  esta vida? Uno que digan: ayy, quiero lograr/hacer esto antes de morir. Aunque lo vean muy lejano o incluso improbable o imposible 👀","Jan 6, 2024 · 3:48 AM UTC",distant,mad
@david09047,Sentí un leve y lejano movimiento terrestre. Llega a temblar y hago un pozo hasta el sr de los temblores. 🤬,"Jan 6, 2024 · 3:18 AM UTC",distant,mad
@joelcasanova,¿Crepúsculo lejano?⚾ Dos extremos en la tabla.Tiburones es líder y los pájaros rojos muy distantes de su favoritismo como líder de la ronda eliminatoria.El borrón y cuenta nueva del Round Robin es en serio.4 derrotas guaras no son un buen presagio. Le restan 12. Uno + al resto.,"Jan 6, 2024 · 3:14 AM UTC",distant,mad
@E_andiB,Se que me pasó a mí pero ya se siente tan lejano que siento que alguien más me lo contó,"Jan 6, 2024 · 2:59 AM UTC",distant,mad
@YOURBUTTISTBOMB,Felicidad Es un viaje lejano mano con mano La felicidad Tu mirada inocente entre la gente🎶🎶,"Jan 6, 2024 · 2:59 AM UTC",distant,mad
@Al3x_019,Esperando que me hablen de un número de Monterrey y me avisen que Carlos Bremer era un tío lejano y se acordó de mi en su testamento,"Jan 6, 2024 · 2:39 AM UTC",distant,mad
@ltbri11,"Tomar vinos en un lugar lejano y recordar todo,no tiene precio no me hablen que les digo de todo crjo","Jan 6, 2024 · 2:37 AM UTC",distant,mad
@AmsiCuba51779,"El Taj Mahal se construyó como un equipo, sin un equipo era un sueño lejano. (Vinita Kinra)  #UnidosTodosX #DeZurdaTeam","Jan 6, 2024 · 2:37 AM UTC",distant,mad
@csasmar_,porq me quedo muuudaaaa prendida en tu miradaaa porq todo es lejano PORQ SIN TI YA NO HAY MÁS NADAAA,"Jan 6, 2024 · 2:21 AM UTC",distant,mad
@ok_maga,Este año voy por todo. Lo que veía tan lejano está cada vez más cerquita 🥺🙏🏻,"Jan 6, 2024 · 2:16 AM UTC",distant,mad
@ivoooon__,gracias vida por haberme alejado de gente tan venenosa e infeliz,"Jan 6, 2024 · 3:42 AM UTC",distant,mad
@andre_milian19,Muy alejado de mí mejor versión.,"Jan 6, 2024 · 3:34 AM UTC",distant,mad
@GabrielaNorato2,Doy gracias a la vida por haber alejado a personas que no me aportaban ni sumaban nada bueno✌🏼.,"Jan 6, 2024 · 3:04 AM UTC",distant,mad
@MarianaAplausos,Le doy gracias a Diosito por haberme alejado de esa familia ✨,"Jan 6, 2024 · 3:04 AM UTC",distant,mad
