user,text,date,emotion,sentiment
@camilao2203,mi sueño frustrado es que me hagan una fiesta sorpresa pero bien bien,"Jan 6, 2024 · 3:47 AM UTC",frustrated,mad
@cvlstes,me sueño frustrado es tener sexo con una mujer,"Jan 6, 2024 · 3:41 AM UTC",frustrated,mad
@anac_atencia,"Quiero unos patines, ese siempre ha sido mi regalo frustrado 😩 🤣","Jan 6, 2024 · 3:33 AM UTC",frustrated,mad
@josuenrikee,"amigo q hueso que estoy en el bass, toy frustrado","Jan 6, 2024 · 3:24 AM UTC",frustrated,mad
@Sorto_SLV,"Pensé que me había vuelto mejor por mi forma de afrontar últimamente las cosas pero no, estoy tan frustrado que bloqueo todo porque no tengo la intención de lidiar con algo.","Jan 6, 2024 · 3:19 AM UTC",frustrated,mad
@Zazuhb02,Mi sueño frustrado no era ser gótica era ser romántic goth,"Jan 6, 2024 · 3:12 AM UTC",frustrated,mad
@starsaest,Perdonen pero mi shipp frustrado siempre va ser Rosina y Nico #GranHermano,"Jan 6, 2024 · 3:06 AM UTC",frustrated,mad
@CarlosR68486255,Frustrado y la csmr,"Jan 6, 2024 · 3:05 AM UTC",frustrated,mad
@KellyLinda59210,mi sueño frustrado es que me organicen un cumpleaños sorpresa,"Jan 6, 2024 · 3:05 AM UTC",frustrated,mad
@st_chinchilla,"Mi sueño frustrado es haber estudiado alguna de las carreras que quería: comunicación, arquitectura o diseño gráfico, pero pues 🫤","Jan 6, 2024 · 3:01 AM UTC",frustrated,mad
@luiscostabonino,"El Presidente, con su estrategia política personal, conduce al Partido Nacional y a la Coalición a la derrota en 2024. Con esta acción, le abre el camino a Yamandú Orsi a la Presidencia. Esta estrategia, que ya nadie ignora, ha desalentado que posibles muy buenos precandidatos presidenciales blancos, y también colorados, se decidan a competir. La acumulación de votos por lema a la Coalición, fue bloqueada en lo nacional, pero se va a llevar a cabo en lo departamental. Para que una vez que la Coalición pierda en 2024, vuelva a fortalecerse con triunfos departamentales en 2025, y prepare eventualmente el terreno para que el Presidente vuelva a elegirse en 2029. La idea es perder, pero mantener relativamente alta la popularidad del Presidente, con inauguraciones, paseos en moto y diversos etcéteras. Esta estrategia no solamente es políticamente desleal, sino que va a hacer que el Partido Nacional no vuelva a ser gobierno por muchísimos años en Uruguay.","Jan 5, 2024 · 7:21 PM UTC",frustrated,mad
@sofartaud,"tobias podra ser desalentado, poco agraciado, no carismatico, sin buen fisico, pero nunca caeria mal","Jan 4, 2024 · 11:03 PM UTC",frustrated,mad
@MiguelHdez__,¿Quien llenará este vacío de cuerpo desalentado que dejó tu cuerpo al mío?  #MiguelHernández,"Jan 3, 2024 · 10:18 PM UTC",frustrated,mad
@Mrkts_CGP,"Bonsi me ha quitado de su foto de perfil, decepcionado, defraudado, abandonado, frustrado, derrotado, desconcertado, desilusionado, angustiado, abatido, desanimado, estafado, engañado, fallado, disgustado, timado, desalentado, lamentado, molesto, olvidado, tu puta madre vaya 😔","Dec 31, 2023 · 4:51 PM UTC",frustrated,mad
@SublieMe,"Ah, la de gente que el arco de shibuya ha desalentado de seguir jujutsu, y yo os digo: bien que hacéis, que todo lo de después es bastante mierdero","Dec 30, 2023 · 2:53 PM UTC",frustrated,mad
@ppzo03,"Acabo de terminar los soprano ... estoy afligido, apenado, entristecido, apesadumbrado, atribulado, pesaroso, mohíno, mustio, taciturno, compungido, lloroso, cariacontecido, amargo, melancólico, apagado, desmotivado, fatigado, desanimado, desalentado, decaído, entristecido.","Dec 28, 2023 · 3:25 PM UTC",frustrated,mad
@_alexpanting,"El efímero horizonte,  esa cotidiana utopía, piensa un desalentado conductor al acelerar por la carretera.","Dec 27, 2023 · 5:08 PM UTC",frustrated,mad
@Alexzz182005,Si te sientes desalentado porque crees que no eres suficiente enciende la llama de tu corazón Secate las lágrimas y mira hacía adelante. Puede que quieras frenar pero el paso del tiempo no espera a nadie no se te quedará mirando mientras haces duelo... 🥀,"Dec 27, 2023 · 2:16 AM UTC",frustrated,mad
@not_dxr,"podré ser desalentado, ridículo, no carismático, poco agraciado, pero jamas","Dec 21, 2023 · 8:15 PM UTC",frustrated,mad
@ursulacamba,"Explíquenme por favor, si se ha desalentado el consumo de comida chatarra con sellos, ¿por qué se vende en el tren maya? ¿Por qué el menú no dice frituras o pastelitos y en cambio tiene los nombres propios como gansito o chocorroles? ¿Marinela pagó por exclusividad? No entiendo.","Dec 18, 2023 · 10:02 PM UTC",frustrated,mad
@erreborda,termine bien abrumado después de hoy,"Jan 6, 2024 · 2:53 AM UTC",frustrated,mad
@shpiderduck,me siento abrumado,"Jan 6, 2024 · 2:35 AM UTC",frustrated,mad
@Alex_R_art,"Me siento un poco abrumado por la cantidad de cosas que quiero dibujar, ver, jugar y leer. Odio esta sensación xdddd","Jan 6, 2024 · 12:20 AM UTC",frustrated,mad
@anggelinaa97,Salvador la única persona que no la ha abrumado de versiones❤😒❤ #NadieComoTú,"Jan 5, 2024 · 10:38 PM UTC",frustrated,mad
@diegoreyesvqz,Denme un helado o algo que ando full abrumado.,"Jan 5, 2024 · 8:38 PM UTC",frustrated,mad
@Alfred_Cripto,"Estoy abrumado de airdrops , de youtube y de todo. Es imposible gestionarlo todo , todo se mueve muy rápido. O determino un plan o me quemo","Jan 5, 2024 · 7:07 PM UTC",frustrated,mad
@DePacotilla,"#MicroCuento: A veces, sin motivo aparente, o, más bien, por razones quizás fútiles, se le venían encima unas nostalgias inmensas, que lo dejaban paralizado y abrumado... ¿Serían los ""Heraldos Negros"" de los que hablaba Vallejo?...","Jan 5, 2024 · 4:39 PM UTC",frustrated,mad
@messagewvmxn,"Oh, las vacaciones. Tesoros inciertos, venideros y preciados para cualquier trabajador abrumado por la sobreexplotación. Un sueño fugaz en el que el dinero parecía no importar, a cambio de un breve respiro de placer, diversión y alivio. Su tesoro perdido, ahora convertido","Jan 5, 2024 · 6:19 AM UTC",frustrated,mad
@my25thour,me siento muy abrumado,"Jan 5, 2024 · 5:30 AM UTC",frustrated,mad
@JorgeD1428,"Consejo que nadie pidió: Si un día te sientes abrumado, triste, enojado, ansioso… Cierra tus ojos, y piérdete en tu respiración","Jan 5, 2024 · 4:57 AM UTC",frustrated,mad
@vanecrssk,Odio sentir que molesto :c,"Jan 6, 2024 · 3:49 AM UTC",frustrated,mad
@PandaMesta,Después de varios comentarios agrios y hate respecto a Costco he llegado a la conclusión de que las “Nenis” deben ir a chingar a su madre y que dan asco.,"Jan 6, 2024 · 3:46 AM UTC",frustrated,mad
@Emchg2003,"Perdón no debí buscar, pero dónde busco si no hay donde, comprendo y no molesto mas","Jan 6, 2024 · 3:46 AM UTC",frustrated,mad
@trementyna,"Algo que me parece increíble y muy molesto de Xochimilco es que no hay tacos ni cerca, ni buenos, ni nada.","Jan 6, 2024 · 3:44 AM UTC",frustrated,mad
@kizscoups,"nO SE OUEDE SER MÁS MOLESTO MARICON, TE DIJEBQ ESTOY HACIENDO TAREA DEJA DE CHINGARME LA MADRE","Jan 6, 2024 · 3:42 AM UTC",frustrated,mad
@xnt,Melchor: grax por su compra  Baltazar: sí lo molesto con su ticket,"Jan 6, 2024 · 3:38 AM UTC",frustrated,mad
@TsadValen,Le molestó que escuche miranda cus I'm healing 💋,"Jan 6, 2024 · 3:37 AM UTC",frustrated,mad
@Biancaoros20,Me párese re injusto que cuando las mujeres opinemos algo xq nos molesta ya se enojan y ya nos tratan mal 🤷😂 Solo fue un comentario y si te molesto xq será verdad ? 🤷😂😂,"Jan 6, 2024 · 3:36 AM UTC",frustrated,mad
@m1nnzzz,Estar conmigo debe ser molesto,"Jan 6, 2024 · 3:30 AM UTC",frustrated,mad
@yumamr_2611,"Ya me molestó mucho en vacaciones, hora de volver al aparta🏃🏽‍♀️","Jan 6, 2024 · 3:28 AM UTC",frustrated,mad
@luiss_teixeira,Voy a ver a los warriors con toda la ilusión pero se que terminare desilusionado,"Jan 6, 2024 · 2:48 AM UTC",frustrated,mad
@OrlandoGS23,"Ese último ingreso sí me partió la madre 😮‍💨💀 La vida MIP no es como la imaginaba Estado: Cansado y desilusionado  *Hasta eso la comida está buena, eso me mantiene de pie ❤️‍🩹","Jan 5, 2024 · 11:16 PM UTC",frustrated,mad
@magnoderlis,Desilusionado. 👍🏻,"Jan 5, 2024 · 10:54 PM UTC",frustrated,mad
@Andry_Yuls,"No sé si estoy enojado, triste o desilusionado ptm","Jan 5, 2024 · 7:40 PM UTC",frustrated,mad
@UVEsad,"La verdad es que estoy desilusionado, ya no le veo salida a esto","Jan 5, 2024 · 6:44 PM UTC",frustrated,mad
@Ricardo_re,Desilusionado pero con un desarrollo de personaje  bien mamalon,"Jan 5, 2024 · 4:23 PM UTC",frustrated,mad
@candeesanchez,"Como se vuelve a confiar en una persona después que te han humillado tantos años decepcionado, desilusionado y hasta dejar la familia por la joda ?","Jan 5, 2024 · 4:10 PM UTC",frustrated,mad
@Laraa_Perez88,todas putas mira la cara de pobrecito desilusionado de este chicoo,"Jan 5, 2024 · 4:08 PM UTC",frustrated,mad
@Polloapoyo,"Que decirte? Así de la nada, dueño de mi propio negocio, legalmente inscripto. Un poco desilusionado, siempre pensé que a esta altura iba estar siendo un capomafia. Pero no, ando arreglando máquinas. 🤷","Jan 5, 2024 · 1:01 PM UTC",frustrated,mad
@Edybm99,Vamos a ver y con tanto inmigrante de Pedro Sánchez que ha abierto la puerta...no le pueden dar una páguita y tenemos barra libre de Baltasares en las cabalgatas y ningun niñ@ desilusionado?,"Jan 5, 2024 · 12:00 PM UTC",frustrated,mad
@gli_occhi_,"Te podría decir que sería un verdadero placer arrinconarte en una pared, besarte mientras poco a poco voy desnudándote con mis manos temblorosas hasta sentir tu cuerpo agitado rozando con el mío...  Pero olvídalo eso sería muy vulgar de mi parte…","Jan 6, 2024 · 3:07 AM UTC",frustrated,mad
@RobiRonco,"Como costo el viernes!! después de un jueves agitado... Ahora a prender un fueguito,conseguí carne en oferta..","Jan 6, 2024 · 12:09 AM UTC",frustrated,mad
@dexthedge,"El parpadeo es tranquilo, un exterior falso que contradice su agitado interior. Dorados buscan a Brenda, tan solo para ver su reacción; es la única general que conoce, por lo que en sus manos queda elegir si es necesario ponerse o no a la defensiva. Luego buscaría a Noelle, /+","Jan 6, 2024 · 12:07 AM UTC",frustrated,mad
@CandeLitta99,Toda la tarde haciendo la Fila Virtual para comprar las entradas de Flor y cuando llegaba ya estaba todo agitado 🥺😭😭😭,"Jan 5, 2024 · 11:33 PM UTC",frustrated,mad
@esteban__ugc,Que solo hablé de historia el que la haya sopesado Que solo hable de olas el mar agitado Y que solo hable de joyas tus ojos iluminados🥴,"Jan 5, 2024 · 11:11 PM UTC",frustrated,mad
@Italxn_mxn,Estoy agitado física y mentalmente.,"Jan 5, 2024 · 10:33 PM UTC",frustrated,mad
