user,text,date,emotion,sentiment
@Sazaia__,"Hoy desperté nerviosa de una pesadilla rascandome compulsivamente el codo, ahora está irritado y me pica cada dos por tres","Jan 5, 2024 · 11:04 PM UTC",irritated,mad
@parra_keslley,"Brazil, I'm devastated, cansado, irritado AND desgostoso","Jan 5, 2024 · 9:33 PM UTC",irritated,mad
@figuritarepe_,"Vengo irritado, con un poco de mal humor y jussssto se sube uno a tocar (horriblemente) ""Universo paralelo"" en ukelele...  Meado","Jan 5, 2024 · 9:24 PM UTC",irritated,mad
@fer_nutricion,❌Como castigo siempre te  sentirás presionado e irritado.  ✅Como AGRADECIMIENTO  DISFRUTARÁS cada día que le  puedas dar lo mejor a tu cuerpo 🫶🏽.,"Jan 5, 2024 · 8:36 PM UTC",irritated,mad
@Alexsaca13,Estado: irritado de tanto wey en mi jale,"Jan 5, 2024 · 8:18 PM UTC",irritated,mad
@yawnzzzcat,"Por stalkear ví el nombre de un * word y ya me sentí más irritado, ugh.","Jan 5, 2024 · 7:17 PM UTC",irritated,mad
@LopeteguiA,"He salido a por un regalo de última hora y un tipo fachapobre irritado porque compró nosequé muy caro, pero le faltan las pilas. Estoy por regalárselas yo, menuda alteración me lleva. Y yo sólo voy por un perfume...","Jan 5, 2024 · 1:59 PM UTC",irritated,mad
@Sosgar61094,2ª vez que le preguntan a Marcelino por fichajes y 2ª vez que Marcelino contesta un poco irritado.  No me extrañaría nada que la cuerda entre Marcelino y directiva/dir. deportiva se haya tensado en los últimos días visto lo corta que es la plantilla y las exigencias de Marcelino.,"Jan 5, 2024 · 1:31 PM UTC",irritated,mad
@Olivputolol,ME DUELEN ESTOS CORTES IRRITADO S AAAA SUFRO AHORA MISMO.DUELE MUCHO,"Jan 5, 2024 · 6:22 AM UTC",irritated,mad
@ElOjerosoChacon,Hoy ando de un irritado con esta red social,"Jan 5, 2024 · 5:47 AM UTC",irritated,mad
@makkomood,que molesto tener que andar controlando todo lo que decís porque a la mínima se ofenden...,"Jan 6, 2024 · 3:54 AM UTC",irritated,mad
@vanecrssk,Odio sentir que molesto :c,"Jan 6, 2024 · 3:49 AM UTC",irritated,mad
@PandaMesta,Después de varios comentarios agrios y hate respecto a Costco he llegado a la conclusión de que las “Nenis” deben ir a chingar a su madre y que dan asco.,"Jan 6, 2024 · 3:46 AM UTC",irritated,mad
@Emchg2003,"Perdón no debí buscar, pero dónde busco si no hay donde, comprendo y no molesto mas","Jan 6, 2024 · 3:46 AM UTC",irritated,mad
@trementyna,"Algo que me parece increíble y muy molesto de Xochimilco es que no hay tacos ni cerca, ni buenos, ni nada.","Jan 6, 2024 · 3:44 AM UTC",irritated,mad
@kizscoups,"nO SE OUEDE SER MÁS MOLESTO MARICON, TE DIJEBQ ESTOY HACIENDO TAREA DEJA DE CHINGARME LA MADRE","Jan 6, 2024 · 3:42 AM UTC",irritated,mad
@xnt,Melchor: grax por su compra  Baltazar: sí lo molesto con su ticket,"Jan 6, 2024 · 3:38 AM UTC",irritated,mad
@TsadValen,Le molestó que escuche miranda cus I'm healing 💋,"Jan 6, 2024 · 3:37 AM UTC",irritated,mad
@Biancaoros20,Me párese re injusto que cuando las mujeres opinemos algo xq nos molesta ya se enojan y ya nos tratan mal 🤷😂 Solo fue un comentario y si te molesto xq será verdad ? 🤷😂😂,"Jan 6, 2024 · 3:36 AM UTC",irritated,mad
@m1nnzzz,Estar conmigo debe ser molesto,"Jan 6, 2024 · 3:30 AM UTC",irritated,mad
@moll_andre,"Si puedes contar una película para qué hacerla? Se preguntaba Jafar Panahi exasperado en Esto no es una película . La experiencia vivida es una experiencia que pertenece al que la contempla, merece ser compartida Filmar es un acto de resistencia, pero sobre todo un acto de vida.","Jan 5, 2024 · 10:16 AM UTC",irritated,mad
@SpencerHIGS,Me acordé que mi ex me decía exasperado que no le preguntara si nos veríamos al día siguiente porque lo presionaba y no quería verme 😭 creo q hay maneras + bonis de decir las cosass,"Jan 5, 2024 · 7:02 AM UTC",irritated,mad
@_chiwi_b4r366,V todo exasperado diciendole a Jones que no piense con el de abajo sino que con el corazoNNN AJHDSJSA v tanbonito que eres muak,"Jan 4, 2024 · 8:01 PM UTC",irritated,mad
@oculisinefacie,"Se ha quitado las gafas del rostro y, la otra mano se la ha pasado por el mismo, exasperado.  — Imbécil. — Murmuró ante lo dicho por el director, girandose a ver a los estudiantes.  — Todos tranquilos ... respiren y eso. — enunció con cierta monotonía, girándose para pensar.","Dec 29, 2023 · 12:43 AM UTC",irritated,mad
@oculisinefacie,"— Cierra la boca. — señaló en dirección al ruso, más que exasperado.  No está para chistes de pitos, no.","Dec 29, 2023 · 12:38 AM UTC",irritated,mad
@oculisinefacie,"Mirada posó en Chris y, exasperado, le dió la linterna.  — Sostenga eso. — ordenó, sacando una SIG-Sauer P226 de su mochila (similar a una Glock 40).  Sí. Siempre la carga. Incluso en la academia. Silencio, es la costumbre.  Pero ahí está, caminando con lentitud.","Dec 28, 2023 · 11:42 PM UTC",irritated,mad
@jjimeneza1972,"'y él, él, él, no había entendido nada de esto y la había exasperado hasta perderla'  La repetición de 'él' es un acierto a decir verdad. A Cósimo entonces (nos dice Biagio al fina del capítulo) sólo le restó volverse loco.  #ElBaronRampante","Dec 27, 2023 · 9:27 PM UTC",irritated,mad
@BL00DWALTTZ,"Y... ahí iba otro grito. ¡Jura que lleva todo el día escuchándolos por todas partes!   —¿Más? —acabó diciendo para sí mismo, con un suspiro exasperado—. Voooooy.  Suponía que eran más cardos, vaya. El temblor lo dejó muy claro conforme se iba acercando.  ¡Se notaba que no les +","Dec 26, 2023 · 11:39 PM UTC",irritated,mad
@hope_fanhuevo,"Cuando me siento solo, triste, aburrido, feliz, exasperado, ansioso, melancólico, veo a Woshingo, y me da una especie de caricia al corazón verlo, nose porq, tqm mucho @Woshingo  te quiero abrazar","Dec 26, 2023 · 9:44 AM UTC",irritated,mad
@oculisinefacie,"Ceja arqueó ante el comentario de Yuri, exasperado más no sorprendido ante ese comportamiento.  — No, gracias. — emitió con cierto disgusto. — Y, espero deje de gastar saliva diciendo ... tonterías. — bufó.  — ¿No hay nadie más a quién molestar? Ahí veo un par. —","Dec 24, 2023 · 3:33 AM UTC",irritated,mad
@wxxnny_,"⠀⠀ Phillip estaba inquieto, insistía mucho en volver a casa con el brujo pero como es usual, el caballo no logra convencerlo de lo contrario.      “   Irtho, irtho.   ”      Habló en una extraña lengua para tirar de las riendas para cabalgar hacia el lugar donde pudo ⠀⠀","Jan 6, 2024 · 3:37 AM UTC",irritated,mad
@arelyavilau,"«Nos hiciste, Señor, para ti, y nuestro corazón está inquieto, hasta que descanse en ti». San Agustín","Jan 6, 2024 · 3:16 AM UTC",irritated,mad
@TorresAgus18,Mi B...... Está inquieto hoy 👣,"Jan 6, 2024 · 3:09 AM UTC",irritated,mad
@wais2010,"Permitid q haya espacios en vuestra unión Dejad q los vientos dancen entre vosotros. Amaos el uno al otro,mas no hagáis del amor una prisión: Es preferible q sea un inquieto mar entre las playas d vuestras almas. Llenad el uno al otro la copa,mas no bebáis d una sola NO PEDÍ MÁS","Jan 6, 2024 · 2:35 AM UTC",irritated,mad
@vargs_m09,"Aquí donde me ven, nunca he tenido una madre espiritual.","Jan 6, 2024 · 1:58 AM UTC",irritated,mad
@vargs_m09,"Ser víctima de amor es sufrir los dolores ajenos, pero muy principalmente los dolores del corazón de Cristo.","Jan 6, 2024 · 1:56 AM UTC",irritated,mad
@christvlad,De pronto me puse inquieto 😪,"Jan 6, 2024 · 1:52 AM UTC",irritated,mad
@RociioBareiro,"Desde la semana 16 que esperaba sentir movimientos de mi bebé y nada. Recién en la semana 25 empecé a sentir. Hoy pisando las 27 semanas pido que se calme un poquito, es super inquieto pero en ciertos horarios😂💖","Jan 6, 2024 · 1:41 AM UTC",irritated,mad
@vargs_m09,"Recuerden porqué empezaron, y cuiden su ideal. ❤","Jan 6, 2024 · 1:23 AM UTC",irritated,mad
@dthloyal,"Por primera vez, indagaciones rondan dentro de la psique del azabache. Una imperiosa sensación lo instiga a desplazarse el dorso de la extremidad contra las hileras rebeldes de su prolongada cabellera, cual crío inquieto. En medio del apacible monólogo del cobrizo, la ».","Jan 6, 2024 · 1:23 AM UTC",irritated,mad
@turbosofista,A quien dijo Isabel que se iba a coger? JAJAJAJAJAJA #GranHermano,"Jan 6, 2024 · 3:51 AM UTC",irritated,mad
@Poli_Delgado23,En la última película de rápido y furioso encontraron las esferas del dragón para revivir a todo el mundo o que verga,"Jan 6, 2024 · 3:22 AM UTC",irritated,mad
@agusmastro_,"Me quisieron cortar dos con fierro, pero justo habia visto todas las de rapido y furioso. (Otro dia sera muchachos)","Jan 6, 2024 · 3:18 AM UTC",irritated,mad
@Maxiporr,"No comparto como están tratando a Rosina soy furioso y así como defendimos a furia por los maltratos y comentarios del culo hacia ella, creo que deberíamos hacerlo con rosina #GranHermano #rosina","Jan 6, 2024 · 3:07 AM UTC",irritated,mad
@_Vanetorrealba,"Puse Rápido y Furioso X aunque no he visto la 7, 8 ni 9 😂","Jan 6, 2024 · 3:06 AM UTC",irritated,mad
@Rodriayala02,las primeras de rapido y furioso son todo lo que está bien,"Jan 6, 2024 · 2:59 AM UTC",irritated,mad
@_am4r0_,que peliculón rápido y furioso,"Jan 6, 2024 · 2:56 AM UTC",irritated,mad
@tatsufancy,que buena que está la primera de rápido y furioso por qué tuvieron que terminar en la luna,"Jan 6, 2024 · 2:55 AM UTC",irritated,mad
@DamianFriasR,Ahí me llevan al veterano rápido y furioso 🤣,"Jan 6, 2024 · 2:44 AM UTC",irritated,mad
@FLAUTIELECTRICO,Alguien puede darle un tiro a Robertito? #granhermano,"Jan 6, 2024 · 2:39 AM UTC",irritated,mad
@S0VERITAS,"—Es que me da un poco de pereza esto de tener que ir conociendo a todo el mundo...  Pero tendría que conformarse. De nuevo, la maldita pregunta. Trató de no mostrarse irascible.  —Pues no, no tengo ni idea de quién es mi padre. Pero pronto lo sabré, ¿vale?  Habló mientras se +","Jan 5, 2024 · 8:53 PM UTC",irritated,mad
@Imanolsanchezz_,"No me toquéis mucho los cojones cuando estemos de exámenes, me acabo de dar cuenta que soy muy irascible :))","Jan 5, 2024 · 6:03 PM UTC",irritated,mad
@Shuragz,Que tenga que venir el puto Villarejo a contaros las cuatro verdades que el resto del año no os da la gana de escuchar es algo que me tiene irascible perdido.,"Jan 5, 2024 · 4:42 PM UTC",irritated,mad
@daanipala99,"Llevo tiempo sin aguantar malas actitudes o malas contestaciones. Pensé que estaba irascible, pero es amor propio y así seguirá","Jan 5, 2024 · 4:41 PM UTC",irritated,mad
@ElianaBxx,"Este año lo empecé súper irascible, todo y todos me molestan","Jan 5, 2024 · 3:53 PM UTC",irritated,mad
@CosmicAsh_,"Que irascible está la gente, y eso que es viernes 👀","Jan 5, 2024 · 3:34 PM UTC",irritated,mad
@MelanyyCar09,"Que sosiego sentí hoy al hablar con una persona que la tildaban de irascible y terminó siendo todo lo contrario, simplemente uno debe de aprender a expresarse!🫶🏻","Jan 5, 2024 · 5:20 AM UTC",irritated,mad
@drevax,"Se fumaron la luna de miel de 100 días en 20 días de gobierno. Desconocen espiritualmente al pueblo argentino, lo van a hacer llegar agotado e irascible al inicio del ciclo lectivo. Son unas bestias nunca vistas.","Jan 5, 2024 · 1:26 AM UTC",irritated,mad
@aiinhoact15,si yo no fuese tan jodidamente irascible…,"Jan 4, 2024 · 11:59 PM UTC",irritated,mad
@ladeleyelainer,"Hoy déjenme, estoy irascible","Jan 4, 2024 · 3:49 PM UTC",irritated,mad
@ateneaax,"Han sido unas navidades horribles en las que estar mala me ha fastidiado casi todos los planes que tenía, pero ver las cabalgatas hoy junto a mis amigas y mi novio y disfrutar como niños pequeños ha sido el mejor regalo que podría tener +","Jan 6, 2024 · 3:16 AM UTC",irritated,mad
@sekkyoku,"Después de casi una hora grabando un vídeo, se me ha fastidiado la tarjeta y he perdido todo.   Otro día que esté más fresco lo repito. Por hoy mejor descansar...","Jan 5, 2024 · 10:01 PM UTC",irritated,mad
@daaanii91,"Pues la cabalgata de #Granada de este año me ha parecido más sosa, simple y menos vistosa que la de otros años. Y no sólo por la lluvia que también ha fastidiado, pero las carrozas han decaído comparándolas con las anteriores…","Jan 5, 2024 · 8:57 PM UTC",irritated,mad
@dados100,Estoy algo fastidiado e incómodo,"Jan 5, 2024 · 6:01 PM UTC",irritated,mad
@ttonemon,"#LaPromesa Malditos fusiladores...la habéis fastidiado...como decía la Marquesa ""Metomentodo Funes""","Jan 5, 2024 · 4:34 PM UTC",irritated,mad
@ChaveauMarvin,Fastidiado 😫.,"Jan 5, 2024 · 2:49 PM UTC",irritated,mad
@staricw,"Le terminé silenciando porque ya me había fastidiado, pido perdón.","Jan 5, 2024 · 2:46 PM UTC",irritated,mad
