user,text,date,emotion,sentiment
@BarbiSanchez13,Ponete celoso de cualquiera pero no de ese culiado! Justo ese nunca maaaasssss,"Jan 6, 2024 · 3:52 AM UTC",jealous,mad
@Meriit0,hace una sala de voz🤗 me hablan amigos🙂 se pone celoso e interrumpe😵‍💫 al final solo él habla ☠️,"Jan 6, 2024 · 3:37 AM UTC",jealous,mad
@kthvan_,¿por qué mierda soy tan celoso?,"Jan 6, 2024 · 3:36 AM UTC",jealous,mad
@nacho899537,Alan no para de mirarla a rosi con joel celoso.  #GranHermano,"Jan 6, 2024 · 3:27 AM UTC",jealous,mad
@fqaidan,"Solo le gusta verme celoso, eso es todo, me devuelvo por donde vine.","Jan 6, 2024 · 3:26 AM UTC",jealous,mad
@imapm_,No hago el cyr de los celos porque yo soy bien pero bien celoso.,"Jan 6, 2024 · 3:24 AM UTC",jealous,mad
@Rami_mondraa,que celoso de mierda que soy,"Jan 6, 2024 · 3:24 AM UTC",jealous,mad
@stephanii_mejia,Porque ese jevo tuyo 'tá celoso 😏,"Jan 6, 2024 · 3:17 AM UTC",jealous,mad
@_valeeen___,"Ando en celo, o cómo es que se dice cuando uno es celoso??","Jan 6, 2024 · 3:14 AM UTC",jealous,mad
@jxnxor_,Ando en celo ¿o como es que se dice cuando uno está celoso?,"Jan 6, 2024 · 3:03 AM UTC",jealous,mad
@MariaDeAbreu63,"Entregamos al viejo 🌍 y salvamos al nuevo? Podremos salvarnos de la destrucción que ocurrirá si arrancamos a Dios del viejo mundo matando al bastardo que alimenta al díablo? El cuerpo está tomado por la escoria, diablo. Esposo envidioso, CDSM que cree que la mujer no es gente.","Jan 6, 2024 · 3:56 AM UTC",jealous,mad
@ixlaPelana,Solución infalible para no caerle mal a los demás: no existir. Siempre habrá alguien envidioso!  En un mundo de hipcritas los sinceros somos los malos.,"Jan 6, 2024 · 3:45 AM UTC",jealous,mad
@juzhoo,"El envidioso no quiere tener lo que tengo, lo que quiere es que yo no lo tenga.","Jan 6, 2024 · 3:38 AM UTC",jealous,mad
@g0umind_,"el fandom boss habla hispana es el fandom más envidioso que he conocido, muy el internacional es 😭😭🩷🩷🩷","Jan 6, 2024 · 3:38 AM UTC",jealous,mad
@Hernan_Peixoto,Cada vez lo aguanto menos al bobo este wacho envidioso,"Jan 6, 2024 · 3:21 AM UTC",jealous,mad
@JesicaGaleano11,"No, no es q podías a esa hora es que me viste en una y empezaste a joder como buen envidioso, x no veo q me jodas así cuando nos cruzamos😒 y tmpoco t voy a andar atrás. Ovulo no persigue espermatozoide miamor😘","Jan 6, 2024 · 3:11 AM UTC",jealous,mad
@konsisid,quien fue el envidioso ke me tiro mal de ojo para que me salieran mil granos,"Jan 6, 2024 · 3:01 AM UTC",jealous,mad
@AdriOrtiz9_,"Envidioso, tas celoso","Jan 6, 2024 · 2:40 AM UTC",jealous,mad
@Noemitakeloke,"Hablemos de el #Bailando2023, Kenny, keni, queni, no se, me chupa un huevo su nombre, es un envidioso del orto, tanto le duele que los demás si saben bailar y el no?? Por algo el está en el stream y no en la pista. #Bailando2023","Jan 6, 2024 · 2:29 AM UTC",jealous,mad
@halconvista,"Yo soy de esos que no me quejo por nada, con quejas no soluciono nada, vivo y dejo vivir, disfruto con la envidia de los demás, yo tengo a la vecibicha y a la vecimasquebicha y tú envidioso que tienes además de la amargura?","Jan 6, 2024 · 2:25 AM UTC",jealous,mad
@STonayan,Por esta vida de mierda  Gracias  Gracias  Gracias  !!!!!,"Jan 6, 2024 · 3:54 AM UTC",jealous,mad
@Bruno_egr,"para mi suerte, soy alto resentido","Jan 6, 2024 · 3:49 AM UTC",jealous,mad
@AngelMo57547660,"¿Cuánto dinero pagó el dictador por demoler el monumento? Bukele y sus caprichitos, sigue de resentido. NO A LA REELECCIÓN","Jan 6, 2024 · 3:25 AM UTC",jealous,mad
@STonayan,Tal vez si te pusieras a  trabajar no tendrías que limosnear  Pinche gente huevona,"Jan 6, 2024 · 3:13 AM UTC",jealous,mad
@girlouisi,en la única red social q me seguía era tiktok y ahora subí un video lo vio y me dejo de seguir jssjkskssksk paraaaaa tan resentido vas a estar,"Jan 6, 2024 · 3:05 AM UTC",jealous,mad
@agrio_remedio,"Le tuve que decir a mi propia madre, ""hay un poco de comentario en tu racismo"" y ELLA ME DIJO ""ya sé""  AAAAH PERO LOS COLOMBIANOS NO SON RACISTAAASSS HPP","Jan 6, 2024 · 2:58 AM UTC",jealous,mad
@Caiper94,"Gordo Dan me parece un tipo asquerosamente facho que odio con todo mí corazón por sus opiniones, pero que me da la culposa sospecha de que en su vida privada es un tipo limpio y honesto que solo está resentido con la vida.","Jan 6, 2024 · 2:48 AM UTC",jealous,mad
@luIuxwonder,Manzana 0’gracis ese gordo resentido #GranHermano,"Jan 6, 2024 · 2:38 AM UTC",jealous,mad
@TomasMoretti3,Desconfío mucho de la gente que entrena mucho. Llena un vacío  Firma: un gordo resentido,"Jan 6, 2024 · 2:30 AM UTC",jealous,mad
@tony_zinni,"#Bailando2023 kennys palacio critica al coach porque el es oscuro, como se lo ve , y resentido , no pudo bailar, y lo rajaron","Jan 6, 2024 · 2:22 AM UTC",jealous,mad
@Ghpicante4,Alan está más despechado lpm   #GranHermano,"Jan 6, 2024 · 3:39 AM UTC",jealous,mad
@naysha_al,"Que bajo es que seas ridículamente despechado , vive y deja vivir","Jan 6, 2024 · 3:16 AM UTC",jealous,mad
@m1lagrit0ss,"Uno si es ridículo cuando anda despechado. Pero bueno, es parte del proceso","Jan 6, 2024 · 3:06 AM UTC",jealous,mad
@elyalfonzo777,por favor que infumable es emanuel n0ir de ke personajes con las historias de ig modo despechado siempre bastAAAA,"Jan 6, 2024 · 3:01 AM UTC",jealous,mad
@blessee__,Acabo de terminar una canción que se llama Noches de Perreo y que sacaré en Febrero y no mamen…. MI MEJOR CANCIÓN Y HIT SEGURO  Lo qué estar despechado le hace a un cabron,"Jan 6, 2024 · 2:32 AM UTC",jealous,mad
@delvalle_rz,"""Estoy despechado, podemos consolarnos los dos"". Se podrán imaginar como se siente eso.","Jan 6, 2024 · 2:24 AM UTC",jealous,mad
@Sapoohp_,"Pa la mesa, en moto y despechado, que sigue?","Jan 6, 2024 · 12:00 AM UTC",jealous,mad
