user,text,date,emotion,sentiment
@CamiFaala,"Yo nose cómo es q no aman a Nico, es amoroso y nunca estuvo en bardo para mí es un gran pibe y se re nota, traten de ver eso🤍 para mí tiene llegar mínimo a la final. #GranHermano","Jan 6, 2024 · 3:28 AM UTC",loving,peaceful
@MarceLG93,"Mañana mi amado padre cumple 72 años ✨ mi mayor bendición es contar con un padre amoroso que hasta el día de hoy es mi guía y apoyo en todo 💕 mi súper héroe, mi súper Mario 🦸🏻‍♂️💙","Jan 6, 2024 · 3:24 AM UTC",loving,peaceful
@nelagalm,"Hey me sorprende de verdad que vean como referente amoroso la relación de Aida y westcol, están bien?","Jan 6, 2024 · 3:02 AM UTC",loving,peaceful
@nazz_luz,Es horrible no tener el apoyo de mi mamá en el sentido amoroso de mi vida...,"Jan 6, 2024 · 3:01 AM UTC",loving,peaceful
@RAMAADAMIT,cual es su cancion favorita del triangulo amoroso de folklore ahre que no me va a responder nadie y que soy literal el meme de ariana grande hablandole a la pared,"Jan 6, 2024 · 2:57 AM UTC",loving,peaceful
@DianaGarcia06_,"Cuando tenga un hijo le voy a regalar un Golden, porque sin duda mi Ñepos es el mejor regalo que me han podido hacer en la vida. Tan amoroso, comprensivo y fiel, mi polo a tierra.","Jan 6, 2024 · 2:56 AM UTC",loving,peaceful
@LuliPeralta17,q asco los varones con los q creo vínculo amoroso no puede seeeeer,"Jan 6, 2024 · 2:53 AM UTC",loving,peaceful
@AyeeMolina2,"Que a Sebastián le pinte lo amoroso y me regale mi chocolate fv, q cosaricaaaa","Jan 6, 2024 · 2:52 AM UTC",loving,peaceful
@Nanezluis27,No cabe duda que despues de un 12 me pongo amoroso,"Jan 6, 2024 · 2:52 AM UTC",loving,peaceful
@Gloria_1899,"✨Mi yo enamorada es el ser más intenso, amoroso y detallista que puede existir. Que no mueran los detalles que demuestran cuánto queremos a alguien✨","Jan 6, 2024 · 2:46 AM UTC",loving,peaceful
@j_puntoaimerope,te amo Negan,"Jan 6, 2024 · 3:41 AM UTC",loving,peaceful
@XimenaCalzada,te amo yakult,"Jan 6, 2024 · 3:41 AM UTC",loving,peaceful
@SchmutzSheila,Jamás en mi vida voy a amar a alguien tanto como te ame a vos. Nadie me hace tanta falta como vos. Jamás extrañe a alguien tanto como a vos. Feliz cumpleaños a la persona más maravillosa que conocí en esta vida y que dejó una huella imborrable. Te amo abuela✨🤍 *enviar al cielo,"Jan 6, 2024 · 3:41 AM UTC",loving,peaceful
@ohlali9,"Volví a leer Rayuela después de varios años. No sé si será la vejez pero tanto mundo bohemio forzado me cansa. Igual, Maga te amo.","Jan 6, 2024 · 3:41 AM UTC",loving,peaceful
@shrran_,te amo tanto que siento que quiero explotar,"Jan 6, 2024 · 3:41 AM UTC",loving,peaceful
@Byron0241,DIOOOOOOOOS TE AMO BOL BOL,"Jan 6, 2024 · 3:40 AM UTC",loving,peaceful
@anotherocksong,"Te amo Spinetta , cántame la vida","Jan 6, 2024 · 3:40 AM UTC",loving,peaceful
@beomyful,"COMO Q LE ESTÁN DEJANDO MALOS COMENTARIOS A WONPIL EN EL TT DE LAS STAYC CÁLLENSE EL OCICO PERRAS VOMO NO CONOCEN AL REY Q ES KIM WONPIL, TE AMO WONPIL MI NIÑO HERMOSO AUNQUE LAS KPOPIS DE 12 AÑOS YA NO TE RECONOZCAN","Jan 6, 2024 · 3:40 AM UTC",loving,peaceful
@figueroa_nabila,LUCIA CON VOZ DE GLOBO DE HELIO JAJAJAJ TE AMO MUCHO LUCHITA.   #GranHermano,"Jan 6, 2024 · 3:40 AM UTC",loving,peaceful
@CARPDERY,por fin se me dió el match ludery,"Jan 6, 2024 · 3:40 AM UTC",loving,peaceful
@WalterH32944002,Ta pa dormir con vos mi amor,"Jan 6, 2024 · 3:41 AM UTC",loving,peaceful
@iimmalexx,"Las personas somos to complicas en verdad, paz y amor","Jan 6, 2024 · 3:41 AM UTC",loving,peaceful
@pastabrola,"comiendo helado, mamada y predicando amor","Jan 6, 2024 · 3:41 AM UTC",loving,peaceful
@ale_edna,"Mi amor, estoy llorando, estas lagrimas son de dolor","Jan 6, 2024 · 3:41 AM UTC",loving,peaceful
@Pabl08000,una que me mande tweets 🙏🏼🙏🏼,"Jan 6, 2024 · 3:41 AM UTC",loving,peaceful
@marugmxs,quiero que sepas que no se va el amor que te tengo,"Jan 6, 2024 · 3:41 AM UTC",loving,peaceful
@angelopezlv,"del amor no se vive plebada,y nada es para siempre,todo lo que inicia algún día termina,enfóquense en hacer dinero y pensar en su futuro🫶","Jan 6, 2024 · 3:41 AM UTC",loving,peaceful
@MaacaGomez,"mi amor, la libertad es fiebre. es oración, fastidio y buena suerte","Jan 6, 2024 · 3:41 AM UTC",loving,peaceful
@Sofiarolonn1506,"Será Moscú,mano a mano con mí amor❤️","Jan 6, 2024 · 3:41 AM UTC",loving,peaceful
@AliciaRamos_b14,A mi amor lo que Diga,"Jan 6, 2024 · 3:41 AM UTC",loving,peaceful
