user,text,date,emotion,sentiment
@sofirosas_40,"con un vasito en la mano y el cuerpo siento cansado, fumando voy relajado","Jan 6, 2024 · 3:42 AM UTC",relaxed,peaceful
@jegoncas,Estoy tan relajado con las gomitas de CBD qué apenas sentí el temblorcirto..  Hoy ha sido un corre corre para mañana Día de Reyes..,"Jan 6, 2024 · 3:23 AM UTC",relaxed,peaceful
@moncho05011,Relajado que yo no las quiero para ping,"Jan 6, 2024 · 3:23 AM UTC",relaxed,peaceful
@Riioss__,Hace 6 años no sabía que era estar los primeros 10 días de enero en la perla tan relajado y descansando en la house. Demasiado agradecido por todo.  🛠️⚙️,"Jan 6, 2024 · 3:10 AM UTC",relaxed,peaceful
@AldoGuzman03,Ya fume una séquita del faisán y ahora a mimir relajado 😪,"Jan 6, 2024 · 3:04 AM UTC",relaxed,peaceful
@DJ_EliasT,GANAMOS ESA MIEEEEEEERDA!!! 🔥🦁⚾🦁🔥 QUE JUEGAZO  @leones_cbbc no va a dejar que uno vea un juego relajado!!!   Vamo' Arriba!!! 🔥🦁⚾🦁🔥,"Jan 6, 2024 · 2:55 AM UTC",relaxed,peaceful
@nanyfrias11,Saltando de apoco ala pile sin agua xd sin miedo relajado,"Jan 6, 2024 · 2:54 AM UTC",relaxed,peaceful
@fisiologiaucsa,"Estoy en Ocumare de la costa,leyendo algo, relajado. Será Vino, Ron o una cerveza ?","Jan 6, 2024 · 2:09 AM UTC",relaxed,peaceful
@JULIANAAAE_,"Jueputa no se de que estoy cansada o q si literalmente mi trabajo es lo más relajado del mundo, solo se q todo el tiempo quiero dormir","Jan 6, 2024 · 2:01 AM UTC",relaxed,peaceful
@germanJVergara1,Jajajaja ombe si yo estaba era relajado ahí,"Jan 6, 2024 · 1:56 AM UTC",relaxed,peaceful
@lorelatorre13,"Amo el olor a Hierba Luisa, me ha calmado bastante 🥹","Jan 6, 2024 · 3:05 AM UTC",relaxed,peaceful
@Lariitwo,"De las cosas que me han llenado y calmado, es haber hablado con David. No recuerdo cuánto tiempo tenía de no hablar con alguien así ❤️","Jan 6, 2024 · 2:31 AM UTC",relaxed,peaceful
@jongssoul,"holaa, finally twitter está más calmado","Jan 6, 2024 · 2:24 AM UTC",relaxed,peaceful
@ULIRB24,Eh calmado Ogt como que Powerlifter si tú PR en sentadilla libre es lo que cargo en pecho🤣🫵🏽,"Jan 6, 2024 · 1:15 AM UTC",relaxed,peaceful
@YurikkoAkemi,"Adoro al dúo lima-limón, son un mar de risas y Q se ve tan comfy con R. Charlan, pelean (de chill) y sobretodo Q se oye más sincero y calmado cuando charla con él.  Los quiero mucho, que feliz me hizo este stream ❤️‍🩹","Jan 6, 2024 · 12:52 AM UTC",relaxed,peaceful
@nvraly,"¿podía llegar a ser tan delicado? por qué tomaría entonces el camino completamente distinto y destrozar cualquier suavidad.  —ajá, calmado como ahora supongo.  en su tono reflejaba duda, sarcasmo que contrastaba sus palabras con su mensaje.  —¿qué podría hacer yo en un lugar ›","Jan 6, 2024 · 12:30 AM UTC",relaxed,peaceful
@nvraly,"comprende, Akira es como un perro que necesita espacio para correr o se comienza a angustiar. apuntado para próximos exámenes.  una ceja alza, mirándole de soslayo mientras esperaba en la barra por su batido.  —¿ya te has calmado?  no esperaba verle tomando té. ni nada en ›","Jan 6, 2024 · 12:13 AM UTC",relaxed,peaceful
@Nuby_03,"Tengo semanas con una alergia, se me habia calmado todo, decido volver a usar mi bubba y vuelve la alergia... Que me esta ocasionando la alergia?  El bubba🙃🙃🙃","Jan 6, 2024 · 12:07 AM UTC",relaxed,peaceful
@Crisenjapon,Intentar no quedarse dormida en el tren cuando te levantas a las 7am después de haberte acostado a las 2am casi es un reto...🥲🥲 Espero que hoy ya se haya calmado un poco la cosa y no venga tanta gente.,"Jan 6, 2024 · 12:07 AM UTC",relaxed,peaceful
