user,text,date,emotion,sentiment
@daylences,la mayor parte del tiempo me culpo por sentir mucho absolutamente todo y olvido la partecita linda de que gracias a tener la capacidad de sentir puedo desbordar tanto amor y sip trato de ver el lado bueno de tener un corazón sensible ok,"Jan 6, 2024 · 3:44 AM UTC",responsive,peaceful
@DANlTZA,mal día para hacerme esto ando muy sensible y ya lloré 3 horas,"Jan 6, 2024 · 3:44 AM UTC",responsive,peaceful
@yourgangmember,"Estoy muy sensible hoy, todo me afecta","Jan 6, 2024 · 3:44 AM UTC",responsive,peaceful
@dalma_recla,Soy muy sensible para esta vida,"Jan 6, 2024 · 3:43 AM UTC",responsive,peaceful
@gguklvly,no me gusta andar tan sensible🙄🙄,"Jan 6, 2024 · 3:41 AM UTC",responsive,peaceful
@Wlliamcz6,"BASTAA 😭 Estoy sensible y me salió el video de una arañita bonita que la querían pisar y dice ""lo siento, no sabía que por ser vista me costaría la vida"" 😭😭😭😭","Jan 6, 2024 · 3:41 AM UTC",responsive,peaceful
@GisselaMejia16,"Ando demasiado sensible, para estar soportando gente pendeja","Jan 6, 2024 · 3:40 AM UTC",responsive,peaceful
@arrodilladito,debería de  bajar 5 kilos en un día,"Jan 6, 2024 · 3:40 AM UTC",responsive,peaceful
@UcheNoy,Ptm que sensible soy,"Jan 6, 2024 · 3:39 AM UTC",responsive,peaceful
@LuchoBattaglia,A la mujer que me robó de una mirada mi sensible corazón,"Jan 6, 2024 · 3:39 AM UTC",responsive,peaceful
@KimberlyRiasco4,Mi cuñado es el más atento 😍😍😍,"Jan 6, 2024 · 3:40 AM UTC",responsive,peaceful
@guadaesemmm,"team Leon pq era más lindo q tomas además tenía facha d ""malo""y era re atento y tomas parecía de esos q se hacían los buenitos y los tiernos y en realidad quieren romperte el corazón en mil pedazos y Diego era un rockero con mal gusto","Jan 6, 2024 · 3:38 AM UTC",responsive,peaceful
@Vespucio_Sur,"Informamos: Trabajos en pista derecha al oriente sector Camino Melipilla comuna de Cerrillos. Utilice pistas izquierda y central, conduzca precaución. Esté atento a la señalización en vía. #VespucioSur @biobio @radiocarab @TTISantiago @mop_chile @mop_rm","Jan 6, 2024 · 3:23 AM UTC",responsive,peaceful
@jjkk_lvs,"Cosas q me gustan de quien no se que es mío 🥺🫶🏻 @ttggk_jkv Sus apodos, su trato, su personalidad, el amor por su hermanita, que me mande a dormir, que me diga que soy hermosa, que se ponga cariñoso de la nada, que me diga que le gusto sin pedírselo, que sea tan atento,","Jan 6, 2024 · 3:21 AM UTC",responsive,peaceful
@_antonellap18,Ufff😍😍 Un man atento es todo!,"Jan 6, 2024 · 3:14 AM UTC",responsive,peaceful
@PabloMedinaPav1,Sra @glorianaveillan algo que decir sobre lo del padre de Martin Pradenas ?? Atento quedo...sra diputada,"Jan 6, 2024 · 3:03 AM UTC",responsive,peaceful
@jlopeziba_,TENEMOS UN PRESIDENTE QUE ESTA MAS ATENTO DE HACER UN CONCIERTO GRATUITO POR UN PAIS QUE QUEDA EN LA PORRA Y PREFIERE DEJAR PERDER.UN EVENTO TAN IMPORTANTE COMO LOS PANAMERICANOS. NO MAS ESTA COCHINADA DE VERDAD.,"Jan 6, 2024 · 3:00 AM UTC",responsive,peaceful
@xittylove,el nunca sería así de atento conmigo,"Jan 6, 2024 · 3:00 AM UTC",responsive,peaceful
@Needurantee_,"Hoy me enoje con Mariano por una gilada pero me dolía la cabeza por allá se canso de que esté con cara de ojt y me dice 'cuando más atento estoy a vos te pinta esa, no ves q estoy re enganchado que te quiero' y de los nervios me empecé a reír, ahí está el que no quería nada serio","Jan 6, 2024 · 2:55 AM UTC",responsive,peaceful
@Maaff_,"Extraño esa figura en la casa que estaba atento a todo, resolvía y ayudaba a mi mama y a mí.","Jan 6, 2024 · 2:50 AM UTC",responsive,peaceful
@GlenysSuleinis,Se le reactivo el amargue a la vecina del 31. Aquí vamos con la Sophy otra vez.,"Jan 6, 2024 · 1:07 AM UTC",responsive,peaceful
@phsycobierley,"|| Voy a hacer búsqueda de personajes, a ver si me reactivo por aquí un poco.💕","Jan 6, 2024 · 12:24 AM UTC",responsive,peaceful
@rinconmondongo,Ya se reactivó el grupo de la universidad dando fechas para el regreso ☠️  Dios sácame de la vida zoomeriana por favor,"Jan 5, 2024 · 8:59 PM UTC",responsive,peaceful
@bleedolly,reactivo,"Jan 5, 2024 · 6:52 PM UTC",responsive,peaceful
@LOALTHBREAKER,— El antídoto nos será útil durante su recuperación. Diluye la esencia de los pétalos y mézclala con un reactivo para neutralizarlo. Luego lleva la mezcla a punto de ebullición y agítala bien.,"Jan 5, 2024 · 6:06 PM UTC",responsive,peaceful
@amilcarivan,"#Viernes  La Luna entra en Escorpio. Utiliza la energía transformadora de la Luna de Escorpio para abrazar la introspección, purgar la negatividad, sumergirte en el trabajo interior, practicar la empatía. Las emociones pueden intensificarse. Se proactivo, no reactivo.","Jan 5, 2024 · 3:13 PM UTC",responsive,peaceful
@DragoTHDG,Al menda le va a tocar empollar fuerte el Java Reactivo y las conexiones a Mongo Reactivo,"Jan 5, 2024 · 2:37 PM UTC",responsive,peaceful
@skarfly,"Estúpido aquel que por un corazón roto 💔 se pone reactivo muestra su odio e inmadurez, yo lastimosamente me comporté como esos estúpidos, perdón 😔","Jan 5, 2024 · 12:41 PM UTC",responsive,peaceful
@Malaj2010,"Venezuela: La clase industrial/financiera debe participar/aportar de entrada su perspectiva,estrategia/compromiso con la manufactura local de bajo costo(superar el comprar-vender por el fabricar-vender). Esperar que solo la clase politica decida/imponga resoluciones es reactivo.","Jan 5, 2024 · 11:28 AM UTC",responsive,peaceful
@RaMaT2325,Hablas del abuso reactivo... hasta hace un momento no tenía idea de que era... ojalá reconocieras todas esas veces que abusaste psicologicamente y emocionalmente sobre mi y me quede callado... culparme a mi de todo es fácil... pero si te conocieran de verdad...,"Jan 5, 2024 · 7:38 AM UTC",responsive,peaceful
@OnlyIDKIDC,"Jmn es más fuerte, ágil y capaz de todas ustedes juntas, de qué cresta me están hablando...","Jan 6, 2024 · 3:43 AM UTC",responsive,peaceful
@chompi716992802,"Carlos Saúl Menem estimaba que dolarizar duraría de 6 a 10 años. Meses duro luego y vino el pacto de olivos. Está generación libertaria lo va a hacer más ágil. Dejen de dimar zurdos y comiencen a invertir. VIVA LA LIBERTAD, CARAJOOOO. confío mucho en nuestro sr, presidente Milei","Jan 6, 2024 · 3:19 AM UTC",responsive,peaceful
@__mel1na7,"Por qué uno se maravilla más cuando ve una estrella fugaz, teniendo muchas ahí quietas? A veces lo fugaz es un sentimiento corto pero explosivo, intenso y a la vez ágil","Jan 6, 2024 · 1:47 AM UTC",responsive,peaceful
@MamboReady4,"En la vida hay que estar ágil, no agilipollao.","Jan 5, 2024 · 10:49 PM UTC",responsive,peaceful
