user,text,date,emotion,sentiment
@CelesteRH16,La femenil se volvió mi espacio seguro 🫂⚽️,"Jan 6, 2024 · 3:37 AM UTC",secure,peaceful
@HOSWUALS,Estoy seguro que los ateos y los anticristianos son los que más leen la Biblia...serán felices? Creo que no duermen en paz.,"Jan 6, 2024 · 3:37 AM UTC",secure,peaceful
@Lucianov02,seguro esta en el campo por eso no sube pavada,"Jan 6, 2024 · 3:37 AM UTC",secure,peaceful
@miluuxc,"qjsjs seguro la otra no le dice que es hermoso como yo le decia, pero a el le gano el orgullo y buee 🤷‍♀️","Jan 6, 2024 · 3:36 AM UTC",secure,peaceful
@misokuroo,no les pasa que tienen amigos que los hacen pensar 'marico me encantas pero no estoy seguro si me encantas' ????,"Jan 6, 2024 · 3:35 AM UTC",secure,peaceful
@m54361,extraño que mi gatito se sintiera seguro solo conmigo,"Jan 6, 2024 · 3:35 AM UTC",secure,peaceful
@_soopphhii,"que rabia que sea tan hermoso, seguro todas le responden la historia 😤","Jan 6, 2024 · 3:34 AM UTC",secure,peaceful
@hongteamooo,me siento r linda esto nunca pasa estaré por caer en un pozo depresivo seguro,"Jan 6, 2024 · 3:34 AM UTC",secure,peaceful
@vxlentina21,"estoy segurisima que en algún momento todo deja de doler, por ahora no pero en algún momento seguro que si","Jan 6, 2024 · 3:34 AM UTC",secure,peaceful
@MaxxiiAguirre,también tengo qe aceptar q ya no es mi lugar seguro.,"Jan 6, 2024 · 3:34 AM UTC",secure,peaceful
@zzshinske,t amo atsumu siempre vas a ser mi nene mi bebé mi chiquito mi protegido t amo charlie eres divino no importa lo q digan,"Jan 6, 2024 · 3:37 AM UTC",secure,peaceful
@CarlozGuzman,"¿Cuál es la diferencia entre la soledad y el destino?  Me llamaste isla y quisiste habitarme, hacer crecer mi piel sobre tu tierra, deshacer mi invierno protegido y alumbrar el abandono elegido de la arena.  Pudiste quedarte, posar tu futuro sobre mis ruinas’","Jan 6, 2024 · 3:31 AM UTC",secure,peaceful
@bryangramirez,Ando bien protegido desde allá del cielo 🖤🫂,"Jan 6, 2024 · 3:20 AM UTC",secure,peaceful
@AcostaGuirado,Ando protegido desde allá en el cielo,"Jan 6, 2024 · 2:30 AM UTC",secure,peaceful
@yolimaytulimon,Vergonzoso que un no el de la paz haya encubierto y protegido a uno de las más grandes criminales de Latinoamérica.,"Jan 6, 2024 · 2:15 AM UTC",secure,peaceful
@Edyamrdz,"""El bollo protegido por la sagrada tradición""","Jan 6, 2024 · 2:10 AM UTC",secure,peaceful
@rhaenicenlt,grover mi protegido grover mi hijo,"Jan 6, 2024 · 1:57 AM UTC",secure,peaceful
@tayley_,"rosina no hizo absolutamente nada en la casa como para que la odien así y tampoco hizo nada a nivel juego como para que la banquen tanto afuera. es el síndrome marianela mirra, si aislas a alguien corres riesgo de que se vuelva un ""protegido""","Jan 6, 2024 · 1:39 AM UTC",secure,peaceful
