user,text,date,emotion,sentiment
@deyvisebas,"Agradecido con lo bueno y mucho más con lo malo que me ha pasado, hay que ver el lado bueno de todo a la final","Jan 6, 2024 · 3:32 AM UTC",thankful,peaceful
@cerv01198,"Un día estás perdido en la vida  Otro día llegas a un lugar totalmente desconocido y solo.   Decides echarle ganas y conoces a una mujer increíble.  Te enamoras y las cosas fluyen.  Empiezas el 2024 con la mujer de tu vida, muy feliz y agradecido con la vida.  Te amo Hilda ❤️😍🫶🏾","Jan 6, 2024 · 3:24 AM UTC",thankful,peaceful
@bryancabacos,"Poco a poco estoy cumpliendo mi wish list pendiente😬 siempre agradecido por el trabajo que tengo, pero Diosito necesito más 💵 para cumplirlos todos😝","Jan 6, 2024 · 3:24 AM UTC",thankful,peaceful
@estebankamilo,y allí te hare el amor bien rico.  que cada clavo le recuerde que tuvo un padre muy agradecido con lo que hizo,"Jan 6, 2024 · 3:23 AM UTC",thankful,peaceful
@heeello_nurse,"Si tocas un alma sé dulce, sé suave y agradecido, respeta el latido. Sonríe, cualquiera no puede tocar.","Jan 6, 2024 · 3:18 AM UTC",thankful,peaceful
@tadeomdzar,"Realmente pocas son las personas que me hacen sentir bien, me siento agradecido por los que me han dado todo su cariño y sé que puedo abrirme con ellos sin ningún temor","Jan 6, 2024 · 3:15 AM UTC",thankful,peaceful
@pinkdreamer666,agradecido siempre por quien está y por quien no 🩵,"Jan 6, 2024 · 3:11 AM UTC",thankful,peaceful
@alberteinstem,11:11 Agradecido con el de arriba.,"Jan 6, 2024 · 3:11 AM UTC",thankful,peaceful
@JA598_15,Agradecido con los amigos que Dios me mandó 😻,"Jan 6, 2024 · 3:10 AM UTC",thankful,peaceful
@Riioss__,Hace 6 años no sabía que era estar los primeros 10 días de enero en la perla tan relajado y descansando en la house. Demasiado agradecido por todo.  🛠️⚙️,"Jan 6, 2024 · 3:10 AM UTC",thankful,peaceful
@mjsc__,"Hola bebé, que grato es volver a coincidir contigo.","Jan 6, 2024 · 2:28 AM UTC",thankful,peaceful
@europeu073,grato.,"Jan 6, 2024 · 2:26 AM UTC",thankful,peaceful
@charliehabla_,"Cuando aparecieron los espacios en Twitter, fue tan grato escuchar la voz de quienes compartíamos  tweet, se formaron lazos de amistad y cariño. También discusiones políticas...pero lo de hoy, superó todo límite, burlarse de la muerte de una niña y de su madre, es lo más (sigue)","Jan 6, 2024 · 2:23 AM UTC",thankful,peaceful
@Erikavellojinv,"Hol bebe, que grato es volver a coincidir contigo😍🎶","Jan 6, 2024 · 1:58 AM UTC",thankful,peaceful
@Iamjc13dgo,"Aún existe la gente buena, pura, autentica, leal, desinteresada y con un corazón de puro amor, muy grato es coincidir!!! 🫶🏻🫂","Jan 6, 2024 · 1:40 AM UTC",thankful,peaceful
@Leonard1nho,"Cansado, mas sempre grato!","Jan 6, 2024 · 1:21 AM UTC",thankful,peaceful
@JesusAnchila1,Hola bebé que grato es volver a coincidir contigo,"Jan 6, 2024 · 1:17 AM UTC",thankful,peaceful
@Galbertcalderon,"Por ahí vi a Elly de la Cruz, grato ver ese muchacho m, me recuerda ese campeonato del año pasado 😌","Jan 6, 2024 · 1:08 AM UTC",thankful,peaceful
@cabezas_blanco,Ustedes no saben cuán grato es terminar un día de gymn,"Jan 6, 2024 · 12:56 AM UTC",thankful,peaceful
@MatiasMestres_,"Si Enrique se va a jugar a otro equipo de la B Nacional, para mí pasa a ser jugador no grato igual que Zacaría.","Jan 6, 2024 · 12:15 AM UTC",thankful,peaceful
@Pedroescalona_,"Hay algo de mi por lo que me siento muy orgulloso y es el gusto por distintos géneros musicales atemporales.  Conocerles y disfrutarles me ha permitido separar lo que es música, de lo que es moda.  Pregúntate si el artista del momento será reconocido dentro de 20 años…","Jan 6, 2024 · 3:39 AM UTC",thankful,peaceful
@juliocesarsiman,"Increíble,Juan Manuel Santos,salvó de un juicio internacional por GENOCIDIOS en Colombia,que le tenían preparado en la Corte Penal Internacional,a Álvaro Uribe Vélez,según sus propias declaraciones en un medio de comunicación muy reconocido.","Jan 6, 2024 · 3:37 AM UTC",thankful,peaceful
@nastysudaca,saben por qué es muy reconocido chile en el exterior? por el caso de los uruguayos que se comieron entre ellos en nuestra parte de los andes,"Jan 6, 2024 · 3:25 AM UTC",thankful,peaceful
@Lorento46,Metas para este 2024 (terminos de gd)  - Esta vez si alcanzar los 50 extremes (espero) - Completar el reto de los 1000 demons en un mes - Desbloquear todos los cofres/iconos de la 2.2 - Llegar a ser algo reconocido masomenos - Maybe  mi ultimo new Hardest en el juego,"Jan 6, 2024 · 3:02 AM UTC",thankful,peaceful
@Gaelbravo12,"una pena lo de oklahoma, revivieron muy muy tarde, igual estan haciendo mas condecorosa una derrota que era por mas de 20","Jan 6, 2024 · 2:57 AM UTC",thankful,peaceful
@sandralimonc,"Qué bonito mirar atrás y darte cuenta de cómo te has fortalecido, como has sanado y como has reconocido que tu bienestar es prioridad.  Gracias vida, por mi historia, mis aprendizajes y mi proceso...  Gracias tiempo.   🙌🏽🤍✨️👑 Alas de águila👑✨️🤍🙌🏽","Jan 6, 2024 · 2:39 AM UTC",thankful,peaceful
@tswfthv,yoongi es un culon no reconocido,"Jan 6, 2024 · 2:30 AM UTC",thankful,peaceful
@ArenaWWE_Col,"Cuando ""Butch"" debutó en el roster principal entendí y celebré su cambio de personaje, pero habiendo dejado atrás su pasado ""peleonero"", simplemente no veo por qué Pete Dunne simplemente no es reconocido como F*CKING PETE DUNNE. Also, Tyler Bate es fantástico. #SmackDown","Jan 6, 2024 · 2:27 AM UTC",thankful,peaceful
@mscalvas,"A propósito del asesinato de F Villavicencio  Cevallos declaró q los Zapata dejaron en indefensión al candidato facilitando así la labor d los asesinos. Entonces, cabe la pregunta: ¿Quién es más peligroso, un asesino reconocido o un capitán o general tapiñado? 🤔","Jan 6, 2024 · 2:04 AM UTC",thankful,peaceful
@Maninthebox22,"Bueno, hablando en frio creo que las opciones de Diego Torres y Hermanos Yaipén no estuvieron del todo mala, al fin y al cabo Diego Torres es un artista reconocido que ha ganado Grammys aunque para el público creo que mejor hubiesen sido Los Fabulosos Cadillacs, Vilma Palma","Jan 6, 2024 · 1:59 AM UTC",thankful,peaceful
@JuliiRojas_m,"Es increíble la capacidad de recordar momentos tan puntuales, el real momento apreciativo","Jan 2, 2024 · 11:20 AM UTC",thankful,peaceful
@idessire_,"Ren guarda silencio, su cabeza se inclina hacia un costado, apreciativo, como si las palabras de Mika hubieran desencadenado una sucesión de pensamientos a considerar. Él actúa como si se tratase de un comprador potencial, genuinamente interesado en obtener lo que se le es +","Dec 28, 2023 · 9:19 PM UTC",thankful,peaceful
@LuLambat,"En otro detalle apreciativo de las cosas, el padre de mis hijos no les compra regalos porque no es la fiesta que le toca a él","Dec 23, 2023 · 3:09 PM UTC",thankful,peaceful
@realjavio,hilo apreciativo del peak del humor,"Dec 23, 2023 · 5:24 AM UTC",thankful,peaceful
@realjavio,"ya chicos, hilo apreciativo del humor que nos cargamos entre gar, woen y yo porque si","Dec 23, 2023 · 5:15 AM UTC",thankful,peaceful
@realjavio,yo creo que nuestros memes merecen un hilo apreciativo,"Dec 23, 2023 · 5:11 AM UTC",thankful,peaceful
@Vasiliaseleniko,En necesidad de contacto físico apreciativo de otro hombre,"Dec 17, 2023 · 10:55 PM UTC",thankful,peaceful
@secondhandzahi,Esperando por la pvt4 cerd4 de Eudald (apreciativo),"Dec 13, 2023 · 5:14 PM UTC",thankful,peaceful
@ronaldalvg,Pienso que después de haber tenido episodios depresivos muy fuertes en mi vida con el tiempo uno le otorga a la tristeza cierto sentido apreciativo. Aprender uno a vivir con ella y encontrarla bonita y a veces necesaria,"Dec 12, 2023 · 2:56 AM UTC",thankful,peaceful
@mantequilla367,pulgarcito pulgar lexema c morfema afijo interfijo ito morfema afijo sujijo apreciativo diminutivo,"Dec 10, 2023 · 12:53 PM UTC",thankful,peaceful
