user,text,date,emotion,sentiment
@MLazcano98,No es tu culpa que yo haya confiado en ti.,"Jan 6, 2024 · 3:28 AM UTC",confident,powerful
@clixmoderne,"Me acabo de dar la frente contra la puerta de mi cuarto, confiado en que podía ver por el pasillo si apagaba todas las luces.","Jan 6, 2024 · 3:16 AM UTC",confident,powerful
@CamposNikito,Y yo confiado que era por ahi...,"Jan 6, 2024 · 3:00 AM UTC",confident,powerful
@Fluoxetinepills,Nunca he confiado y creo que difícilmente confiaré en la gente que vende comida sin certificación.,"Jan 6, 2024 · 2:57 AM UTC",confident,powerful
@mandosarabia,Eso me pasa por desorganizado… Ah pero también por confiado! Para que se te vaya quitando Mandito,"Jan 6, 2024 · 2:51 AM UTC",confident,powerful
@vaalee1899,"el que vive confiado, muere traicionado","Jan 6, 2024 · 2:48 AM UTC",confident,powerful
@michaelbg_,Cada vez más confiado de que voy a triunfar 🤗,"Jan 6, 2024 · 2:43 AM UTC",confident,powerful
@dannyzucaritaas,Desde que somos como 15 en Cf me siento más confiado de publicar ahora si mi verdadera personalidad 🙏,"Jan 6, 2024 · 2:30 AM UTC",confident,powerful
@yohenrry1,"“En el día que temo, yo en ti confío. En Dios alabaré su palabra; en Dios he confiado; no temeré; ¿Qué puede hacerme el hombre?” (Salmo 56:3–4)","Jan 6, 2024 · 2:28 AM UTC",confident,powerful
@HenalsSenior,Em paz me acostaré y así mismo dormiré porque solo tu Jehová me haces vivir confiado.🙏,"Jan 6, 2024 · 2:07 AM UTC",confident,powerful
@_soopphhii,"que rabia que sea tan hermoso, seguro todas le responden la historia 😤","Jan 6, 2024 · 3:34 AM UTC",confident,powerful
@hongteamooo,me siento r linda esto nunca pasa estaré por caer en un pozo depresivo seguro,"Jan 6, 2024 · 3:34 AM UTC",confident,powerful
@vxlentina21,"estoy segurisima que en algún momento todo deja de doler, por ahora no pero en algún momento seguro que si","Jan 6, 2024 · 3:34 AM UTC",confident,powerful
@MaxxiiAguirre,también tengo qe aceptar q ya no es mi lugar seguro.,"Jan 6, 2024 · 3:34 AM UTC",confident,powerful
@sergio_promax,No sé qué cambio pero algo es mejor ¡estoy seguro!,"Jan 6, 2024 · 3:34 AM UTC",confident,powerful
@awjdrm84,"Bravos es el verdadero medidor de Leones, con ellos o clasificamos o nos eliminan. Está bien claro quiénes son los 3 que van a pelear siendo la guaira un cupo seguro, realmente solo queda 1","Jan 6, 2024 · 3:33 AM UTC",confident,powerful
@diness1_,sigo sintiendo la misma paz cada vez que hablo con el o lo veo sigue siendo mi lugar seguro 🥹,"Jan 6, 2024 · 3:33 AM UTC",confident,powerful
@Jaleatoxica,Me invitaron a un viaje y se me fue al toque la depresión. Cuando lo tenga que pagar seguro me deprimo de nuevo 😂,"Jan 6, 2024 · 3:33 AM UTC",confident,powerful
@fernandal0pez17,"Bautista porque te juntas con ese boludo, encima seguro le mete ideas #GranHermano","Jan 6, 2024 · 3:32 AM UTC",confident,powerful
@rutaaraucania,"🚗🚙 La ruta no es una pista de carreras, no intentes adelantar con movimientos arriesgados, mantente seguro y maneja siempre por la pista derecha. #NoLoLlamesAccidente","Jan 6, 2024 · 3:31 AM UTC",confident,powerful
@Pepoponce1998,Juro que cada vez mas convencido de estar con esta mujer! Estoy asi❤️‍🩹,"Jan 6, 2024 · 3:26 AM UTC",confident,powerful
@Semad06,"Estoy convencido que de aquí a mayo el abuelo Montalvo, va a terminar apoyando a Gaby Ventilador.","Jan 6, 2024 · 3:22 AM UTC",confident,powerful
@Tiagok2w,"✨️Será que viajo pa alla? Quedarme un mes? Me están convencido de ir, Necesito pensar en los gastos, mi estadia y donde quedarme.🕐✨️","Jan 6, 2024 · 2:58 AM UTC",confident,powerful
@Ricardoj_B,"El click tiene que llegar viejo tiene que ocurrir y este equipo sera indetenible estoy convencido.  Las piezas pueden responder, creo en eso","Jan 6, 2024 · 2:57 AM UTC",confident,powerful
@jhairluque13,El cielo es el límite.   Cada vez más convencido que el único limitante es uno y a veces solo hace falta atreverse y hacerlo. Keep walking. ✨💪🏻🪄,"Jan 6, 2024 · 2:42 AM UTC",confident,powerful
@martin_capello,Más convencido que nunca! 💪🏽,"Jan 6, 2024 · 2:39 AM UTC",confident,powerful
@Monchytoo,"Totalmente convencido.. éste es mi año, corta!!","Jan 6, 2024 · 2:38 AM UTC",confident,powerful
@Juli4nn_,"Estoy convencido de querer trabajar con Arthropoda por el resto de mi vida. Aún así, tengo que explorar más cosas. :pp","Jan 6, 2024 · 2:13 AM UTC",confident,powerful
@mainor320,"Cada vez estoy mas convencido que los fanaticos de furia son retrasados, les molesta los que no juegan y los que tratan de jugar #GranHermano","Jan 6, 2024 · 2:07 AM UTC",confident,powerful
@GustavoBravog10,"Buen paso de Casanova por el club, en un momento fue el mejor central del campeonato, pero su caída era para no creer. Ahora urge traer otro central, ojalá Mayo haya convencido al de Huachipato o tenga a alguien","Jan 6, 2024 · 2:03 AM UTC",confident,powerful
@JavierLeandroJ1,"he decidido empezar con el proyecto de universidad berazategui implementando la escuela secundaria tecnica n1 universidad y club de futbol berazategui, universidad berazategui, dando apoyo al deporte haciendo un puente entre el profesionilmo del club berazategui y universidad.","Jan 6, 2024 · 3:18 AM UTC",confident,powerful
@sebipalonsky,"Debido a mi alto consumo de empanadas, he decidido contabilizar la cantidad que como en un año.  Siendo hoy 5/01 ya son 13 las ingeridas.  Documentaré todo en un excel especificando fecha, lugar/motivo, cantidad y sabor.  Quien acierte al total anual tendrá premio 🏆 suerte!","Jan 6, 2024 · 3:13 AM UTC",confident,powerful
@katkc4ls,estoy comuendo como hipopótamo bastqeui2rjuweuu2r mañana empieza la verdadera anorexia. decidido,"Jan 6, 2024 · 3:11 AM UTC",confident,powerful
@fatimasalazarc_,"Durante carnavales no tendré ig, decidido","Jan 6, 2024 · 3:10 AM UTC",confident,powerful
@dizkookie,hemos decidido dormir temprano (yo y las voces) gn mutis 😴🥱,"Jan 6, 2024 · 3:07 AM UTC",confident,powerful
@AnaDaluz29,No he llorado x la muerte de mi padre nunca. He decidido posponerlo y x lo q veo...indefinidamente. Sencillamente no puedo. Por eso no se juzgan los duelos de las personas...,"Jan 6, 2024 · 3:07 AM UTC",confident,powerful
@Nicholleee1917,"Hoy he decidido, que te tengo que olvidar.","Jan 6, 2024 · 3:06 AM UTC",confident,powerful
@arisonavroo,e decidido cambiarme de user en mi priv…..solo a no se como ponerme,"Jan 6, 2024 · 3:06 AM UTC",confident,powerful
@flawlesspider,"""Como digas, no voy a rendirme.""  Está decidido.","Jan 6, 2024 · 3:05 AM UTC",confident,powerful
@Sh1tCakee,"Ya está decidido, si tuviera que elegir mi vídeo musical favorita, sería circus by Britney, mk, Eda vaina es una película, lo tiene todo. She served cunt in all many ways possible.","Jan 6, 2024 · 2:52 AM UTC",confident,powerful
@Enzo_hernandez5,"De wachin pensaba que a esta edad iba a tener todo resuelto, pero estoy a la deriva 😵‍💫","Jan 6, 2024 · 3:18 AM UTC",confident,powerful
@Almalvarez2001,"Problema resuelto, así resuelvo todo últimamente 😅🤷🏽‍♀️","Jan 6, 2024 · 3:01 AM UTC",confident,powerful
@solidarios_los,"¿Ha resuelto ya el Zendal de 600M de euros el problema de saturación de la sanidad pública y Ayuso está repartiendo mascarillas de su hermano gratis para los madrileños?  Viendo hospitales en Gaza, estamos aquí cómo para un bombardeo. Menuda vergüenza de saqueadores de lo público","Jan 6, 2024 · 2:55 AM UTC",confident,powerful
@marijoo_mg,mejor duermo hasta el domingo y todo resuelto,"Jan 6, 2024 · 2:55 AM UTC",confident,powerful
@Sammarrod,Un aplauso a mi señor novio por haber resuelto hoy una girl emergency 🫶🏻👏🏻.,"Jan 6, 2024 · 2:31 AM UTC",confident,powerful
@Yaramsi3,"""La vida no es un problema que tiene que ser resuelto, sino una realidad que debe ser experimentada"". Soren Kierkegaard.  #UnidosTodosX #DeZurdaTeam","Jan 6, 2024 · 2:19 AM UTC",confident,powerful
@paoruiz86,"Quiero reportar a @ChevroletMexico @GM por si pésimo servicio en cuanto al arreglo mecánico de mi vehículo, hace exactamente 2 años que saque una Captiva 2022 y en noviembre 2023  me falló de la transmisión, de cada 10 unidades Captiva 7 salen con ese detalle, no me han resuelto","Jan 6, 2024 · 2:18 AM UTC",confident,powerful
@Celtics_Col,Bueno ya se está haciendo costumbre que en el último cuarto ya los Celtics tengan el partido resuelto 🥰,"Jan 6, 2024 · 2:00 AM UTC",confident,powerful
@Claudia_Ball_,"Como directivo he escuchado muchas cosas,he visto mucho, he gestionado,me he plantado,he frenado,he resuelto,he preguntado,he colaborado,he pedido ayuda.Lo que aún me cuesta es escuchar a un docente llorar porque no cobra sueldo.Qué decirle?Si haces todo y no cobra. Hoy fue eso😟","Jan 6, 2024 · 1:48 AM UTC",confident,powerful
@MaiaMayakovsky,las personas que tienen lo material resuelto tienen que empezar a cerrar el orto,"Jan 6, 2024 · 1:48 AM UTC",confident,powerful
@dixmond_dust,"Tengo dos opciones, subo mis lpm o los bajo para tener más autoconfianza, no hay punto medio","Jan 5, 2024 · 6:09 PM UTC",confident,powerful
@_geminom,q poco atractivo el ego y la autoconfianza pero q atractivo cuando alguien es mamón sabiendo q en el fondo es inseguro,"Jan 5, 2024 · 1:03 AM UTC",confident,powerful
@Guban__,"La autoconfianza de los necio, de los tacaños ricos y de los egoístas pobres ha matado, enterrado y desaparecido más gente que dos guerras mundiales puestas una al lado de la otra... En esta vida puedes ser todo y todo es válido si estás dispuesto a asumir las consecuencias","Jan 4, 2024 · 7:03 PM UTC",confident,powerful
@David_delaO,🔟 problemas a afrontar en las primeras fases de desarrollo como trader: 1⃣ Distracciones mientras se espera el setup 2⃣ Autoconfianza excesiva 3⃣ Búsqueda del perfeccionismo en las estrategias 4⃣ Procrastinación en la toma de decisiones 5⃣ Análisis excesivo de las oportunidades 6⃣ Falta de generación de ideas 7⃣ Creerse el pvto amo en rachas positivas 8⃣ Mantener la disciplina alta de forma constantemente 9⃣ Elegir los productos a operar adecuados a uno 🔟 Encontrar tiempo para analizar y mejorar Déjame un comentario indicando cuál es el que más te afecta: A ver si entre todo te podemos ayudar a mejorarlo.,"Jan 4, 2024 · 5:44 PM UTC",confident,powerful
@The_CoachKev,Crecimiento Diario 2024 (4/366) 4. El ejercicio es el impulso hacia el éxito y la autorrealización. •Desafiar tus límites físicos cultiva disciplina y autoconfianza. •Establece metas realistas y ejecuta. #gym #fitness #selfdevelopment #business #crecimiento #crecimiento2024,"Jan 4, 2024 · 5:18 AM UTC",confident,powerful
@ccaciattore,"Me encanta cuando alguien muestra una gran autoconfianza y seguridad personal. Por favor, déjame acompañarte, ya que tu presencia resulta muy atractiva.","Jan 3, 2024 · 9:29 PM UTC",confident,powerful
@SerEnDesarrollo,10 habilidades que te pagarán para toda la vida: 1. Empatía. 2. Honestidad. 3. Consistencia. 4 Saber decir no. 5. Comunicación. 6. Autoconfianza. 7. Hacer contactos. 8. Saber pedir ayuda. 9. Gestión del tiempo. 10. Diálogo interno positivo. ¿Qué más agregarías?,"Jan 3, 2024 · 9:00 PM UTC",confident,powerful
@BuenCiudadano1,Uno de nuestros compromisos es promover valores humanos basados en el sentido común y el civismo. Necesitamos confiar más en nosotros mismos y ocuparnos del bienestar de todos. La bondad es fuente importante de fuerza interior y autoconfianza. ¡Qué fácil es ser un buen ciudadano!,"Jan 2, 2024 · 7:24 PM UTC",confident,powerful
@gisxllx_mh,"me meteré al gym, me inscribiré a Kung Fu para mejorar mi concentración, tener mas autoconfianza y reducir mi estrés, cuidare mas de mi alimentación, saldré mas, pero no a fiestas, saldré mas a correr, acoplare mi horario escolar con mi horario de casa. Este año, será mi año💪🏻","Jan 2, 2024 · 9:01 AM UTC",confident,powerful
@JulietaNunez21_,El amor propio y la autoconfianza te salvan d todo,"Jan 2, 2024 · 2:42 AM UTC",confident,powerful
@Bontentini,Estoy postulandome a seguridad midiendo ✨️1.50✨️ jajsja,"Jan 6, 2024 · 3:35 AM UTC",confident,powerful
@bemymessxo,No encuentro el tweet de a cuál famoso se levantarían pero yo en mi adolescencia JURABA que a Martin garrix y ahora en mi adultez lo digo con un millón más de seguridad😎,"Jan 6, 2024 · 3:35 AM UTC",confident,powerful
@BeliebeA,"Mi no negociable (versión amistad): si mis “amigxs” no se preocupan por mi seguridad, no son amigxs, listo y se joden conmigo.","Jan 6, 2024 · 3:34 AM UTC",confident,powerful
@drabermudezhn,"Es REAL y es Hoy cada 23 hrs una mujer en #HONDURAS es ASESINADA, Hoy 4 #Mujeres asesinadas! EXIGIMOS investigación, Judicialización y erradicar la impunidad y estratégica de seguridad ciudadana! @ Tsi @radioamericahn","Jan 6, 2024 · 3:34 AM UTC",confident,powerful
@AilinGaticaa,la verdad que no se bien si me da seguridad o miedo ver tantos policías en la calle😶,"Jan 6, 2024 · 3:33 AM UTC",confident,powerful
@Yio_HB,"Me enamoré de la idea de un amor que disfruta los silencios De ese amor que te mira a los ojos y sin decir una palabra lo sabes todo El que transmite seguridad, paz, y calidez Me enamoré del amor que entregué y que siempre entregaré, porque das lo que eres🤍🍒","Jan 6, 2024 · 3:33 AM UTC",confident,powerful
@MarisolMosw,Si me costaba ser abierta o quizás desenvolverme en una relación por falta de confianza y poca seguridad hacia ami. Creo que ahora tengo un nuevo problema.,"Jan 6, 2024 · 3:33 AM UTC",confident,powerful
@johnx22,el problema es q las fuerzas armadas no quieren meterse en la seguridad ni compartir funciones con la policia nacional,"Jan 6, 2024 · 3:32 AM UTC",confident,powerful
