user,text,date,emotion,sentiment
@Juliix_7,exitoso hombre de negocios,"Jan 6, 2024 · 3:26 AM UTC",successful,powerful
@goolf208,"Hoy murió Carlos Bremer empresario Mexicano exitoso y visionario, siendo un ejemplo de lo que debe ser y  hacer un empresario, preocupado y apoyando a su personal y emprendiendo más negocios en conjunto con dueños de MiPYMES. México necesita empresarios cómo él y no explotadores.","Jan 6, 2024 · 3:21 AM UTC",successful,powerful
@benyRd,"Siento y lamento mucho la pérdida de Carlos Bremer, excelente persona la cual conocí  cuando me desempeñaba con Consultor  y auditor financiero Mi más sentido pésame a sus familiares. Descanse en paz un hombre bueno y exitoso.🙏🏻QEPD  #CarlosBremer","Jan 6, 2024 · 3:21 AM UTC",successful,powerful
@javore_mostar12,Si el experimento libertario de @JMilei resulta ser exitoso y si demuestra que un país puede funcionar sin chorrearle la guita a los ciudadanos (léase impuestos) en verdad pensaría irme a vivir a Argentina 🇦🇷 Mantener parásitos me tiene las bolas llenas 💁‍♂️ #TaxationIsTheft,"Jan 6, 2024 · 3:19 AM UTC",successful,powerful
@ricardoveache,Mi ex compartiendo la mis a publicación que yo y teniendo más likes que yo ❓❓❓❓❓❓❓❓❓  HUMILLARME? LO LOGRASTE OK AHORA HAY QUE VOLVER,"Jan 6, 2024 · 3:13 AM UTC",successful,powerful
@JuliaanQuintero,"este año voy a ser exitoso no importa cuántas noches sin dormir pase, ni cuántas cosas deba sacrificar, me lo prometo.","Jan 6, 2024 · 2:58 AM UTC",successful,powerful
@TuYoExitoso,"El esfuerzo y trabajo constante le gana al talento  Si alguien con talento no pone el trabajo cada día con disciplina, no llegará a ningún lado  Ahora imagínate a alguien que tenga el talento y poniendo el trabajo cada día?  Sería imparable","Jan 6, 2024 · 2:55 AM UTC",successful,powerful
@hrs_luis12,Ando bien excitado o como se dice cuando te sientes exitoso?,"Jan 6, 2024 · 2:51 AM UTC",successful,powerful
@rdportes,Muy triste por la muerte de Carlos Bremer; un empresario mexicano exitoso y que parte de la fórmula de su éxito empresarial estaba en la gente. Sus consejos serán eternos.,"Jan 6, 2024 · 2:49 AM UTC",successful,powerful
@Amexme_Cancun,"Gran pérdida para nuestro pais , mexicano visionario exitoso, filántropo comprometido con su país . Descanse en Paz y brille para el la luz perpetua @carlosbremerg #SharkTank","Jan 6, 2024 · 2:47 AM UTC",successful,powerful
@helmercarrillo,"Ay cada quien tiene en la vida su cuarto de hora Que lo motiva, que lo entusiasma a ser triunfante Es un momento de buena suerte que uno lo adora Es mi momento esa es mi estrella y voy pa'lante! 🙌🏽","Jan 6, 2024 · 2:06 AM UTC",successful,powerful
