user,text,date,emotion,sentiment
@tenderquokka,"una amiguita old stay me acaba de contar que cuando salió ""boxer"" todo el fandom quedó sorprendido por el rap de minho, colapsaron como nunca y decían ""el rap de minho en boxer"", y los otros fandom preguntaban si en serio minho rapeaba EN CALZONES; cómo no estuve para vivirlo? 😭","Jan 6, 2024 · 3:20 AM UTC",surprised,powerful
@yaritaestrelli,Prime Video está underrated. Me ha sorprendido bastante.,"Jan 6, 2024 · 3:11 AM UTC",surprised,powerful
@flawlesspider,"""¿Tienes pareja Jax?"" Sorprendido.","Jan 6, 2024 · 3:11 AM UTC",surprised,powerful
@HannibalDex,"Esas brillantes e ineditas ideas que tienen los funcionarios uribistas antioqueños en montar ""grupos de seguridad"" me han sorprendido por su originalidad. Dónde paracos he escuchado eso antes?? 🤔🤔","Jan 6, 2024 · 3:04 AM UTC",surprised,powerful
@saidbobadilla,"Me han sorprendido, no esperaba esta victoria","Jan 6, 2024 · 2:50 AM UTC",surprised,powerful
@kevinsantoya5,Lo de la fixie me dejó sorprendido,"Jan 6, 2024 · 2:20 AM UTC",surprised,powerful
@dragblem,El sorprendido fui yo jajaja,"Jan 6, 2024 · 2:13 AM UTC",surprised,powerful
@yugimotta,MKBHD puso en uno de sus videos gráficas de las ventas de Apple y quedé sorprendido de que lo que más mueven son los teléfonos más caros,"Jan 6, 2024 · 1:43 AM UTC",surprised,powerful
@vtsltsfs,El vago intentó “darme celos” diciendo que wonder woman era una viejita y me encantó la cara de sorprendido cuando yo le dije: ¿cierto? Esa mujer es todo lo que está bien la vida JAJAJAJAJAJAJA.,"Jan 6, 2024 · 1:31 AM UTC",surprised,powerful
@scarreras10,sorprendido de lo rápido que estoy,"Jan 6, 2024 · 1:16 AM UTC",surprised,powerful
@RafaelRodrhy,"Estoy tremendamente asombrado de la cantidad de gente que desean que a @JMilei le vaya mal, aunque esto implique un enorme daño social, por favor tengan empatía, dejen de lado intereses personales, por una vez en la vida acompañen un cambio, sin mirar color político, POR FAVOR 🙏","Jan 6, 2024 · 2:59 AM UTC",surprised,powerful
@assstreeet,Me pregunto dónde estará el chico que me grabó a mi y a christie en el set de elsa y elmar  en el cusica bc estaba asombrado de lo loca maniática que estaba y que me decía iconica same hermana i feel you tuve una conexión con el cantamos lloramos where are you king???,"Jan 6, 2024 · 12:57 AM UTC",surprised,powerful
@felipinortega,"He concluido la experiencia de 'La sociedad de la nieve' y me encuentro asombrado. A pesar de la posibilidad de caer en el sentimentalismo, se transforma en un impresionante despliegue de cómo puede ser la condición humana. No deberían perderse esta obra. Gracias @FilmBayona","Jan 5, 2024 · 11:41 PM UTC",surprised,powerful
@esasOtra,Baltasar me cago en mi bida edition,"Jan 5, 2024 · 9:38 PM UTC",surprised,powerful
@sr_aegis_exe,"Da igual cuantas veces la vea, siempre me quedo asombrado con el arco de Mortis y los Dioses de la Fuerza","Jan 5, 2024 · 9:10 PM UTC",surprised,powerful
@Cuestor23,"Argentina: Este gobierno le quitó las facultades de querellar a la Junt Anticorrupción para que ""no persiga a la oposición"". Me quedo asombrado, eso tiene olor a entrega total.","Jan 5, 2024 · 9:07 PM UTC",surprised,powerful
@eugenioseverin,"Me di una vuelta por X para descubrir asombrado que publicación de las listas de Epstein resucitó a todos los conspiracionistas desatados. Que vacunas con chip 5G, Hillary violando niños en una pizzería, el fraude electoral de Trump, volvió todo. Hay gente muy rara en este mundo.","Jan 5, 2024 · 8:54 PM UTC",surprised,powerful
@esasOtra,. ¿Qué le has pedido a los reyes? - Que me dejes en PAAAAZZZ,"Jan 5, 2024 · 7:40 PM UTC",surprised,powerful
@esasOtra,Queridos Reyes Magos: una bolsa de pistachos aunque esté empezada,"Jan 5, 2024 · 5:31 PM UTC",surprised,powerful
@esasOtra,. ¿De qué murió? - Se asfixió con el celo envolviendo regalos,"Jan 5, 2024 · 4:35 PM UTC",surprised,powerful
@FORDH4MPIR_,"Se levantó de su silla cuando aquella mujer golpeó la ventana con las manos llenas de sangre, ¿que carajos? Estaba estupefacto en su lugar.","Jan 5, 2024 · 10:53 PM UTC",surprised,powerful
@GonzaaaaaaL,Estou estupefacto,"Jan 5, 2024 · 8:25 PM UTC",surprised,powerful
@DanteLizanaPea,"Escuchando Los Tenores de ADN. Estoy estupefacto con los comentarios de Danilo Díaz, es muy imperativo y también muy erróneo. En todo caso nos tiene acostumbrados.","Jan 5, 2024 · 6:12 PM UTC",surprised,powerful
@kytoCAP,"La cantidad de gatos que hay acá amigo, no no es una cosa increíble. Nunca jamás ví algo igual. Estupefacto. Deben de parir como 150 gatas por día","Jan 5, 2024 · 6:13 AM UTC",surprised,powerful
@ren_not_found,"Impactado, desilusionado, estupefacto, incrédulo con lo del Dr. Hawking. Es inverosímil, me niego a creerlo.","Jan 5, 2024 · 4:18 AM UTC",surprised,powerful
@thebeatles1923,"Estupefacto asisto como el resto del pueblo Colombiano a este espectáculo grotesco,grosero e irresponsable de algunas figuras ""leales"" al tal Pacto Histórico.Hienas atacándose a dentellada limpia!!!","Jan 4, 2024 · 5:59 PM UTC",surprised,powerful
@LEOPERMEL,"Según el escritor caroreño Franklin Piña: ""Uno queda estupefacto cuando lee la lista de Jefrey Epstein. Ahí el que falta es Juan Plablo II ..."". 🤦🏻‍♂️","Jan 4, 2024 · 3:59 PM UTC",surprised,powerful
@Tedfarfan,"Lo de Tom Hanks en la lista de Epstein me deja estupefacto La dualidad humana, representar los ideales más altos en sus películas y ser un miserable en la vida real. Ojalá no sea cierto, lo admiré tanto en el ""Soldado Ryan""","Jan 4, 2024 · 1:25 PM UTC",surprised,powerful
@LaQuintaLuna3,"Y daré en asombro Mi silencio Mueca de rostro Estupefacto Y desolado marco De orfandades. Nada corresponde, Todo pierde tacto Y conjugación de partes Impropia y desajuste. Estamos perdiendo el juicio De todo lo q hacen, El miedo invade Indiferencia Y llena de estupor y susto.","Jan 4, 2024 · 11:33 AM UTC",surprised,powerful
@JulioCesarDeMot,"Contractual estupefacto haciendo las suyas. Él abalanzó inducido por pensamientos de pasiones mortíferas. Ella sentimental raciona al conflicto contraposición esbelta con brazos extendidos. -La excomulga impaciencia aparecía, precisó risas macabras legítima al diseñó una muerte..","Jan 4, 2024 · 8:58 AM UTC",surprised,powerful
@fin4do,intolerose a lactante,"Jan 6, 2024 · 2:24 AM UTC",surprised,powerful
@wise_silente,Viendo por YouTube las distintas celebraciones de reyes de América Latina. Una gran variedad de costumbres y tradiciones.,"Jan 6, 2024 · 12:06 AM UTC",surprised,powerful
@intravenose,"Hasta alguien como él tiene límites sobre el derramamiento de sangre. Todo ocurrió frente a sus ojos a cámara lenta, no logrando recomponerse una vez el cuerpo de la rubia hubiese impactado contra la nieve. Tan atónito permaneció que no tuvo tiempo de notar el agarre de su &&.","Jan 5, 2024 · 11:01 PM UTC",surprised,powerful
@AtonitocuLe,Vender a Ronald Araujo y Pedri por 200M€ y fichar a Kilyan Mbappé. El Barça con Mbappé y Luis Enrique sería candidato top 3 para las próximas 5 ediciones de la Champions. Es momento de tomar decisiones valientes. Vamos cojonessssssss.,"Jan 5, 2024 · 9:53 PM UTC",surprised,powerful
@intravenose,"Wow. Con suerte y sabe bailar danzas más bien formales, está algo atónito ante el contraste de la música inicial. Mas no es algo naturalmente malo, deberá... aprender a bailar ese tipo de melodías nuevas, tal vez. La pregunta es cómo.","Jan 5, 2024 · 9:18 PM UTC",surprised,powerful
@Dammian_tkd,Se habla de racismo pero no de Transfobia. El doble rasero para medir el valor de nuestra gente. Atónito estoy. 🏳️‍⚧️❤️🏳️‍🌈,"Jan 5, 2024 · 6:12 PM UTC",surprised,powerful
