user,text,date,emotion,sentiment
@Abigail_Obeso,No confío en los dentistas que hacen resinas-restauraciones sin aislado absolutooo,"Jan 6, 2024 · 2:55 AM UTC",isolated,sad
@mrmrcharlie,"Un lado mío está creativo, con ideas y ganas de hacer contenidos.  Otro lado está deprimido, triste, aislado, encerrado y no quiere hablar con nadie.  Esos dos lados están intentando convivir.","Jan 6, 2024 · 1:04 AM UTC",isolated,sad
@hugemanmk,me acabo de dar cuenta que estuve tan ocupado o de verdad muy aislado de todo para que solo haya subido una foto a insta en todo el año 2023 😕,"Jan 5, 2024 · 10:40 PM UTC",isolated,sad
@NunoGoncalves29,"Te quise a mi lado no con el otro bando , me tienes aislado como un vagabundo","Jan 5, 2024 · 10:36 PM UTC",isolated,sad
@simmcrazyy,"decidí hablar más a profundidad de esto porq necesito sacarlo de mi sistema.  la maldición de ""desaparecer"" no se trata de que day perdiera la vista, si no COMO lo hizo sentir esa noticia. day estaba desapareciendo porque se había aislado del mundo + #LastTwilightSeriesEP9","Jan 5, 2024 · 9:49 PM UTC",isolated,sad
@ale_bbravo,"oye una cosa  aqui en barna ha llovido toda la tarde, eso significa que no se ha echo la cabalgata??  (curro por la tarde y estoy aislado del mundo exterior)","Jan 5, 2024 · 9:38 PM UTC",isolated,sad
@JUST1CEGODS,Que Eliane y Erin estén tristes no es un caso aislado para mi.,"Jan 5, 2024 · 9:17 PM UTC",isolated,sad
@Maximil79892881,Solo hay libertad en la comunidad. Nos venden la idea del individuo aislado para esclavizarnos. La Patria es el Otro.,"Jan 5, 2024 · 9:03 PM UTC",isolated,sad
@_criki,en plan.. de verdad ha sido navidad? me he aislado tanto de todo para no sufrir que es como si no hubieran existido y la ansiedad me hubiera borrado la memoria y ayer era el puente de diciembre y estaba acabando las clases,"Jan 5, 2024 · 8:48 PM UTC",isolated,sad
@deltapiscium,me he quedado totalmente aislado y no como suelo hacer con mis métodos erróneos de autodefensa,"Jan 5, 2024 · 7:22 PM UTC",isolated,sad
@Nintendero13,"Mañana terminare el zelda(no al 100%) la verdad,el juego me encantó,hace mucho que no disfrutaba de un juego en solitario,me gustaría tenerlo al 100 pero no,pronto empiezan mis clases además que son muchas cosas que no pienso hacer,ahora me siento vacío,pensando y escuchando toda","Jan 6, 2024 · 3:38 AM UTC",isolated,sad
@Federic67743794,Es distinto estar solo a estar en solitario 👌,"Jan 6, 2024 · 3:29 AM UTC",isolated,sad
@AkermanRui,"""En el teatro silencioso de la existencia, las lágrimas ensayan su danza mientras el telón del alma se alza en un solitario acto."" -Poeta Errante","Jan 6, 2024 · 3:25 AM UTC",isolated,sad
@6zluz,Ayuda llevo 3horas jugando al solitario no puedo parar,"Jan 6, 2024 · 3:20 AM UTC",isolated,sad
@nyanbinarism,tan i dependiente i lono solitario😈😈😈,"Jan 6, 2024 · 3:10 AM UTC",isolated,sad
@siempre_lowkey,El camino del éxito es sacrificado y es solitario,"Jan 6, 2024 · 3:01 AM UTC",isolated,sad
@imnotvalentt,peter se hizo lobo solitario o que?,"Jan 6, 2024 · 2:59 AM UTC",isolated,sad
@MinNyu13,"Gente, BTS tienen si o si que subir de oyentes mensuales esto para mantener el hito que siempre a tenido BTS; no por motivación de superar a otro fandom, así que vayan transmitiendo los álbumes de BTS, hagan stream lo más que puedan y no dejen de lado los proyectos en solitario.","Jan 6, 2024 · 2:58 AM UTC",isolated,sad
@martubaez_,viernes 23:58  me puse a jugar al solitario se viene un nochon,"Jan 6, 2024 · 2:58 AM UTC",isolated,sad
@Riverorodz,"15 hits y 4 carreras. Querecuto con turnos de 2 y 3 hombres en bases. MVP de nuevo, de 4-4 y líder solitario con 17-0. AVG.000.   Henry Blanco dirigió más para CCS que el mismo Alguacil. 👏🏼","Jan 6, 2024 · 2:55 AM UTC",isolated,sad
@Fedenneta,Soy una máquina de generar pensamientos ansiosos,"Jan 6, 2024 · 3:29 AM UTC",isolated,sad
@Dormido24hrs,"Cada dia que pasa mas qsco me d ala gente, voy a terminar siendo un marginado que vive encerrado en su casa y no tiene amigos, igual que ahora pero peor","Jan 6, 2024 · 2:11 AM UTC",isolated,sad
@guidoesminombre,"Coincido con JuanGra, Guzmán estuvo y está a la izquierda de Massa, haberlo criticado y marginado fue un error, Sergio Tomás fue mucho más pragmático con el y no consiguió ningún tipo de resultados","Jan 5, 2024 · 9:38 PM UTC",isolated,sad
@Franbe___,Ya pegaron la vuelta de abrazarse a Scioli cuando quedó marginado de las paso y era un cuadrazo político y ahora volvió a ser un quebrado y facho que es mas o menos lo que de verdad pensaba el cristinismo sobre él desde circa 2011,"Jan 5, 2024 · 6:38 PM UTC",isolated,sad
@marmmichelle,"Merida tierra de Anarquía los ""moteros"" de nuevo haciendo de las suyas en el Municipio Libertador... Otro año más el merideño es marginado y pisados sus derechos por estos ""turistas"" que vienen a molestar corriendo por las avenidas sin control y sin supervisión,","Jan 5, 2024 · 5:15 AM UTC",isolated,sad
@finexmind97,cuando he quedado con mi amiga y le he dicho que votara otra vez a paul y me ha dicho “pero quieres que le vote porque esta marginado? esq me ha salido un tiktok diciendo eso” HE ESTALLADO,"Jan 4, 2024 · 8:06 PM UTC",isolated,sad
@Daviidmj_,Vicky: Paul sale del grupo y os unís todos joder que forma más directa de llamarlo marginado #OTDirecto4E,"Jan 4, 2024 · 7:20 PM UTC",isolated,sad
@africarauseell,creo que esta noche toca ver por fin las ventajas de ser un marginado (espero que no me deje igual que cuando me acabé el libro),"Jan 4, 2024 · 9:58 AM UTC",isolated,sad
@Soy_Mid_,Marginado... seria yo? Nose,"Jan 4, 2024 · 3:33 AM UTC",isolated,sad
@_rop95,lo marginado socialmente que me siento por no estar siguiendo este gh,"Jan 4, 2024 · 1:00 AM UTC",isolated,sad
@aleE112g,ay no soy muy celosillo mejor si me quedo soltero,"Jan 6, 2024 · 3:48 AM UTC",isolated,sad
@Eleomar_andres,creo que soy el único gay que sigue soltero,"Jan 6, 2024 · 3:45 AM UTC",isolated,sad
@opsiese,soltero y divorciado con cinco hijos,"Jan 6, 2024 · 3:45 AM UTC",isolated,sad
@Salamanqueza,Te lo corregimos sinkieres porke ese wey ke ewta ahi es bien perro estricto con esos  estatus de solteria viudo soltero divorcisdonanonimo y edoectador. Ke es el sistema de recoleccionnde basura del guero y donde estan los abogados busca asesinos y vanos sueltos.,"Jan 6, 2024 · 3:43 AM UTC",isolated,sad
@heavenauron,"JAKAJAJA licha dice que manden un soltero lindo y que no sea histérico para denisse, tal cual #GranHermano","Jan 6, 2024 · 3:43 AM UTC",isolated,sad
@airlin_silveraj,Definitivamente es que estar tanto tiempo soltero e intentar hablar con alguien es muy complicado,"Jan 6, 2024 · 3:42 AM UTC",isolated,sad
@Tobiasspistan,Por ciertas actitudes me doy cuenta porque sigo soltero,"Jan 6, 2024 · 3:41 AM UTC",isolated,sad
@csuallycrueIs,POR AMORES COMO EL TUYO MEJOR ME QUEDÉ SOLTERO.,"Jan 6, 2024 · 3:34 AM UTC",isolated,sad
@Riveeraandres,estado civil:  ○casado ○soltero ◉desaprovechado,"Jan 6, 2024 · 3:33 AM UTC",isolated,sad
@Sebaaaaaaaas_xd,Será este el fin de Sebastián soltero? 🤔,"Jan 6, 2024 · 3:25 AM UTC",isolated,sad
@clementecastan2,"La neta del Planeta, es que el Gobierno ha abandonado a su Pueblo y lo deja sumido en la ignorancia y en una nula capacidad de gestión para salir de su inhumana condición!  La oposición tiene el imperativo de aplicarse con un discurso reivindicador!","Jan 6, 2024 · 3:45 AM UTC",isolated,sad
@buenoschiquis,"lo peor q hizo esta novelita de mierda es haber abandonado la trama de la banda para centrarse en los mismos cliches de siempre, tenían algo buenísimo y lo cagaron #BuenosChicos","Jan 6, 2024 · 3:30 AM UTC",isolated,sad
@malvafg,"Vuelvo a leer una no tan vieja polémica literaria. Encuentro la palabra ""absurdizar"".  Por eso los dioses de la elocuencia nos han abandonado.","Jan 6, 2024 · 3:08 AM UTC",isolated,sad
@potasini,"Que hago con esta necesidad de afecto, me siento como un perrito abandonado que nadie quiere","Jan 6, 2024 · 3:06 AM UTC",isolated,sad
@aeonversion,tengo tuiter medio abandonado,"Jan 6, 2024 · 2:58 AM UTC",isolated,sad
@notaphrokitten,"Vivo dando vueltas a tu alrededor, como un perro abandonado que a la calle te siguió","Jan 6, 2024 · 2:57 AM UTC",isolated,sad
@jhopeblueside_,me re preocupa leer el temita de MM y Villaruel porque ya nada se queda en una teoría conspirativa en este país abandonado por Dios,"Jan 6, 2024 · 2:49 AM UTC",isolated,sad
@matthernandezm,"Me dormí con lam, puse escape perfecto y me acabo de despertar hasta gh terminó y todo en el sillón, despídanse de mi cuello que nos ha abandonado","Jan 6, 2024 · 2:48 AM UTC",isolated,sad
@dancecriptr1,"madurar es aprender a decir q todos los trabajos cuantan igual . todos nos esforzamos por solo 1€ en el bolsillo . tanto personas sin estudios, estudiantes y personas que trabajan de un título universitario. lo importante es esforzarse en esta vida . y no ser un abandonado .","Jan 6, 2024 · 2:47 AM UTC",isolated,sad
@Paito_2908,"El ""perdón por haberte abandonado"" de mi mamá, sanó a mi yo de 16 años 🤍","Jan 6, 2024 · 2:26 AM UTC",isolated,sad
@Nintendero13,"Mañana terminare el zelda(no al 100%) la verdad,el juego me encantó,hace mucho que no disfrutaba de un juego en solitario,me gustaría tenerlo al 100 pero no,pronto empiezan mis clases además que son muchas cosas que no pienso hacer,ahora me siento vacío,pensando y escuchando toda","Jan 6, 2024 · 3:38 AM UTC",isolated,sad
@Federic67743794,Es distinto estar solo a estar en solitario 👌,"Jan 6, 2024 · 3:29 AM UTC",isolated,sad
@AkermanRui,"""En el teatro silencioso de la existencia, las lágrimas ensayan su danza mientras el telón del alma se alza en un solitario acto."" -Poeta Errante","Jan 6, 2024 · 3:25 AM UTC",isolated,sad
@6zluz,Ayuda llevo 3horas jugando al solitario no puedo parar,"Jan 6, 2024 · 3:20 AM UTC",isolated,sad
