user,text,date,emotion,sentiment
@Pakitou_13,Curso intensivo de envolver regalos,"Jan 5, 2024 · 11:33 PM UTC",sleepy,sad
@thwvfuldcctor,"Siente esa mirada, por lo que en busca del autor, se topa con Fushiguro; a quien dirige inmediata sonrisa acompañada por un saludo.  Yace somnoliento, pero las energías perduran.","Jan 5, 2024 · 10:11 PM UTC",sleepy,sad
@roah021,Serían yo somnoliento diciéndole al despertador “Alexa apágate”?   - Esto de madrugar me pone mal.,"Jan 5, 2024 · 1:13 PM UTC",sleepy,sad
@HEADST0MPER,"⠀ ⠀⠀⠀Somnoliento, quizás demasiado. La última clase le termino fundiendo la poca materia gris que tiene en su cabezota y ahora se las va a quemar aún más prendiendo un cigarrillo.  Está sentado en uno de los escalones por el exterior de la entrada de la institución. ⠀","Jan 5, 2024 · 6:20 AM UTC",sleepy,sad
@The_alley_Cat_2,Últimamente me siento muy cansado y somnoliento ...,"Jan 5, 2024 · 1:03 AM UTC",sleepy,sad
@noyoursincerely,ojalá fueras el mismo que cuando estás somnoliento,"Jan 4, 2024 · 9:52 PM UTC",sleepy,sad
@odiseanocturna_,"estoy : cansado, aturdido, estresado, desorientado, somnoliento, deprimido, desentendido, sonámbula, roto, rotísimo, adormecido.","Jan 4, 2024 · 2:50 PM UTC",sleepy,sad
@Ithz1Ke,Aún no supero q comí arroz blanco sin darme cuenta x estar somnoliento,"Jan 4, 2024 · 1:13 AM UTC",sleepy,sad
@klaudioos205,"que manera de chuparle el pico al weon fome y somnoliento de felipe avello, los culiaos","Jan 3, 2024 · 4:16 PM UTC",sleepy,sad
@BrianTurkish,Me dañé el horario de sueño. Mañana va a ser un largo y somnoliento día.,"Jan 3, 2024 · 6:53 AM UTC",sleepy,sad
@elguzmian,Estresado. Pero bien. Adormilado. Pero bien. Cansado. ¿Pero bien? Pero bien.,"Jan 5, 2024 · 9:03 PM UTC",sleepy,sad
@alittlewavechu,"— Para desgracia de Sagitario, estaba tan adormilado todavía que solo fue capaz de intuir lo que había hecho. Alzó una mano, sonriendo de lado. — Estoy de acuerdo contigo. Alegra la vista verte, Xing.","Jan 5, 2024 · 8:47 PM UTC",sleepy,sad
@catharsilypse,Ver a Mar con el cabello alborotado en las mañanas y con el rostro adormilado mientras trata de entender lo que le estoy diciendo me está matando de ternura.,"Jan 5, 2024 · 2:34 PM UTC",sleepy,sad
@P4TH3TIC__,"⠀⠀  ⠀ ⠀     ︎ ︎ ︎ ︎ ︎ ︎ ︎ ︎ ㅤSe queda sentado en el suelo, aún algo adormilado. Piensa en lo aburrida que es la mañana cuando no hay casi nadie por los alrededores.","Jan 4, 2024 · 12:00 PM UTC",sleepy,sad
@yoshiokkai,"Estos últimos días he sentido como que literal solo me la he pasado existiendo, vegetando, pero al mismo tiempo como adormilado y me DESESPERA la sensación de no hacer nada. Según yo en vacaciones iba a leer y hacer/aprender un chingo, hacer ejercicio y nomás me hice pdjo. 😭😭😭","Jan 4, 2024 · 2:11 AM UTC",sleepy,sad
