user,text,date,emotion,sentiment
@_lissjae,"Cómo me cae gordo el Akihiko, nomás me puse a ver Given The Movie para hacer corajes con ese cara de pedo, viejo naco y estúpido, come cuando hay, nada queveriento. Nunca querrá como se debe a Haruki, y lo saben perfectamente.","Jan 6, 2024 · 3:49 AM UTC",stupid,sad
@delffvelazq,"Ya ni lo aguanto, me parece un estúpido","Jan 6, 2024 · 3:49 AM UTC",stupid,sad
@tommosxass,cepillín eres un pinche naco y estúpido,"Jan 6, 2024 · 3:48 AM UTC",stupid,sad
@DimeGarfias,"Costco ya es para puro naco y estúpido, la verdad.","Jan 6, 2024 · 3:47 AM UTC",stupid,sad
@crisitolol,Ella es muy bonita y yo soy un estúpido naco,"Jan 6, 2024 · 3:43 AM UTC",stupid,sad
@lBIume,DIOS QUE VERGÜENZA ME DOY TODO RL VÍDEO ESTOY SORRIENDL COMO ESTÚPIDO AL BORDE DE LSS LÁGRIMAS,"Jan 6, 2024 · 3:42 AM UTC",stupid,sad
@Lunala_Maf,"Yo de veras estoy loca, me siento sola otra vez es como si esto se repitiera si pido perdón siento que lo empeoró todo y si no lo hago me siento culpable es estupido pero que puedo decir","Jan 6, 2024 · 3:41 AM UTC",stupid,sad
@llaantonocturno,"qué estúpido, se puso a llorar","Jan 6, 2024 · 3:40 AM UTC",stupid,sad
@6alexgv,Por otro año siendo un naco y estupido 🙌🏻,"Jan 6, 2024 · 3:39 AM UTC",stupid,sad
@soyixchel,"Mi único gusto culposo son las romcoms y películas de comedia de los 2000's, porque a veces el humor es muy estúpido y cuestionable","Jan 6, 2024 · 3:35 AM UTC",stupid,sad
@3005vibe,quiero desearle un terrible año lleno de dolor físico y mental al pendejo que apareció de la nada usando mi nombre y mi apodo,"Jan 6, 2024 · 3:49 AM UTC",stupid,sad
@toosalinas1,Me siento bien pendejo,"Jan 6, 2024 · 3:48 AM UTC",stupid,sad
@tuitersapesta,Escribo tweets a lo pendejo jajaja nobody cares los typo y todo eso jaja equis somos chavas 🎀 lit los escribo con el qlo y súper distraída,"Jan 6, 2024 · 3:48 AM UTC",stupid,sad
@s_xphiaaaa,"mañana es el primer día que no le voy a tener que dar 500 al cadenero del antro pq mis amigos ya son mayores de edad, me la pelaste pendejo","Jan 6, 2024 · 3:48 AM UTC",stupid,sad
@Tateejb,Este pendejo d mierda se hace el vivo toy a nada d subirme al micro y volverme,"Jan 6, 2024 · 3:47 AM UTC",stupid,sad
@Ricardo91274069,": —¿Eres novia de mi hijo? —No señora, sólo lo traigo bien pendejo pero ni me interesa.","Jan 6, 2024 · 3:47 AM UTC",stupid,sad
@rica_dm,"Me caga q se tarde en contestar, pero sabe q aquí esta su pendejo","Jan 6, 2024 · 3:46 AM UTC",stupid,sad
@malasuuerte,"Al chile qué pendejo el crush porque sistoy muy kebonito, soy gracioso, inteligente, leal, agradable, noble y un larguísimo etc.  Ahora me tendré que dedicar a la putería pa sacarmelo del kokoro","Jan 6, 2024 · 3:46 AM UTC",stupid,sad
