user,text,date,emotion,sentiment
@androsascending,"La cantidad de poemas malos que, entre avergonzado y expectante, me reservo.","Jan 6, 2024 · 2:19 AM UTC",embarrassed,scared
@douxsoleil___,"Para su gran amiga @lambofyah, Neville le extendió la mano invitándola a bailar. Había pasado algún tiempo desde la última vez que se vieron, y no negaba la emoción que sentía por ello, quizás un poco avergonzado de que nunca hubieran bailado juntos. Pero, ¿cómo podría negarse?","Jan 5, 2024 · 10:10 PM UTC",embarrassed,scared
@scarPeregrina1,Se me rompió el pantalon de lado a lado hijo de su perra madre y estoy avergonzado 😪,"Jan 5, 2024 · 6:45 PM UTC",embarrassed,scared
@Bmoo000,"No estoy avergonzado por la profundidad de mi amor. Elegí amarte a costa de mi cordura. Y esta vez ya no elijo amarte a ti. Sé que no es fácil, pero elijo amarme con la misma profundidad. Incluso a costa de perderte.","Jan 5, 2024 · 5:14 PM UTC",embarrassed,scared
@Bmoo000,Me niego a sentirme avergonzado por la forma en la que te amé. Me niego a sentir odio por estar tan comprometido a quererte. Me niego a sentirme humillado por la cantidad de veces que intenté hablar contigo.,"Jan 5, 2024 · 5:11 PM UTC",embarrassed,scared
@luu_longares,"Jamás tuve una amistad lo suficientemente íntima como para compartir mis mayores aficiones sin sentirme avergonzado. Si acaso he coincidido en gustos con alguien, había una diferencia abismal en el grado de apasionamiento por ello.","Jan 5, 2024 · 5:00 PM UTC",embarrassed,scared
@andressponce,Un perro se puso a hacer caca en el paso cebra y detuvo el tránsito. El dueño avergonzado pedía disculpas a los conductores.,"Jan 5, 2024 · 4:17 PM UTC",embarrassed,scared
@JPAperiodista,"Puede que a nadie le importe, pero vuelvo a usar este pequeño espacio que me brinda Twitter para manifestarme totalmente avergonzado de que el club del que soy hincha (@RiverPlate) tenga como sponsor a una casa de apuestas.","Jan 5, 2024 · 2:19 PM UTC",embarrassed,scared
@SomosCremas06,"Su mejor jugador es un obeso de 27 años que solo aguanta 15 minutos de ritmo de juego, yo que ellos estaría avergonzado de decirlo y ellos hasta lo presumen jajaja  Esos regates de mierda te los hacen hasta los Mejía.","Jan 5, 2024 · 1:01 PM UTC",embarrassed,scared
@OMGarridoG,"Yo soy ateo por muchas razones, pero la principal es que estaría demasiado avergonzado de no serlo. (Giovanni Di Gregorio)","Jan 5, 2024 · 10:03 AM UTC",embarrassed,scared
@maaruuup,abrirte con alguien y poder hablar de todo sin que sea incómodo >>>>,"Jan 6, 2024 · 3:54 AM UTC",embarrassed,scared
@siuolouis_,"hola acabo de ver saltburn con mí hermanito muy divertido no recomiendo, llego una parte de la peli (casi la última) en que ro me dijo que estaba sudando de lo incómodo y nervioso que estaba djejdndkkw","Jan 6, 2024 · 3:53 AM UTC",embarrassed,scared
@juliosvnchez,disfrutando hasta el silencio incomodo,"Jan 6, 2024 · 3:51 AM UTC",embarrassed,scared
@_ximlu_,q incomodo es ver una película con tu familia y que de la nada aparezca una escena de sexo súper turbia cbrn,"Jan 6, 2024 · 3:50 AM UTC",embarrassed,scared
@daitonta,"no me da gracia, no es chistoso, es incomodo e irrespetuoso, quisiera que se callaran un rato","Jan 6, 2024 · 3:49 AM UTC",embarrassed,scared
@isaantequeraa,"Mi papá le muestra mis tik toks a toda la familia, es tierno pero que incómodo se siente JAJAJA","Jan 6, 2024 · 3:48 AM UTC",embarrassed,scared
@rocio_olmoss,que reencuentro tan incómodo diosss,"Jan 6, 2024 · 3:44 AM UTC",embarrassed,scared
@itssofibtw,ni 1 día en la casa y mi papá ya lo hizo todo incómodo 👍,"Jan 6, 2024 · 3:43 AM UTC",embarrassed,scared
@Dxdx2131,Me agradan las personas donde el silencio no es incómodo,"Jan 6, 2024 · 3:40 AM UTC",embarrassed,scared
@cinnamon_tearss,yo solo vengo a Nariño a sentirme incómodo xd,"Jan 6, 2024 · 3:37 AM UTC",embarrassed,scared
@_santillanmx,"¿Yo? Triste, preocupado, mortificado por la salud de Rafael Nadal. Dios quita mucho.","Jan 5, 2024 · 2:01 PM UTC",embarrassed,scared
@IsaacBautistaR,Tú no tienes ni pesos en tu cuenta y dique mortificado por la baja del dólar.,"Jan 5, 2024 · 7:03 AM UTC",embarrassed,scared
@tatadiaz1201,Yo creo que mi círculo cercano está más mortificado por lo que me pasa que yo JAJAJAJAJAJA,"Jan 5, 2024 · 2:15 AM UTC",embarrassed,scared
@elfinal05,"Insólito, la oposición está mortificada porque Google presenta el dólar al 33 y no al 54 entre los mortificado está la sabandija de @EuricSanti 😜","Jan 4, 2024 · 9:57 PM UTC",embarrassed,scared
@danielg1966811,Estoy más mortificado por el futuro de Cesar Montes que por el mío😔,"Jan 4, 2024 · 9:19 PM UTC",embarrassed,scared
@dnikolavi,podría perdonar fácilmente su orgullo si no hubiese mortificado el mío,"Jan 4, 2024 · 2:44 PM UTC",embarrassed,scared
