user,text,date,emotion,sentiment
@erreborda,termine bien abrumado después de hoy,"Jan 6, 2024 · 2:53 AM UTC",overwhelmed,scared
@shpiderduck,me siento abrumado,"Jan 6, 2024 · 2:35 AM UTC",overwhelmed,scared
@Alex_R_art,"Me siento un poco abrumado por la cantidad de cosas que quiero dibujar, ver, jugar y leer. Odio esta sensación xdddd","Jan 6, 2024 · 12:20 AM UTC",overwhelmed,scared
@anggelinaa97,Salvador la única persona que no la ha abrumado de versiones❤😒❤ #NadieComoTú,"Jan 5, 2024 · 10:38 PM UTC",overwhelmed,scared
@diegoreyesvqz,Denme un helado o algo que ando full abrumado.,"Jan 5, 2024 · 8:38 PM UTC",overwhelmed,scared
@Alfred_Cripto,"Estoy abrumado de airdrops , de youtube y de todo. Es imposible gestionarlo todo , todo se mueve muy rápido. O determino un plan o me quemo","Jan 5, 2024 · 7:07 PM UTC",overwhelmed,scared
@DePacotilla,"#MicroCuento: A veces, sin motivo aparente, o, más bien, por razones quizás fútiles, se le venían encima unas nostalgias inmensas, que lo dejaban paralizado y abrumado... ¿Serían los ""Heraldos Negros"" de los que hablaba Vallejo?...","Jan 5, 2024 · 4:39 PM UTC",overwhelmed,scared
@messagewvmxn,"Oh, las vacaciones. Tesoros inciertos, venideros y preciados para cualquier trabajador abrumado por la sobreexplotación. Un sueño fugaz en el que el dinero parecía no importar, a cambio de un breve respiro de placer, diversión y alivio.  Su tesoro perdido, ahora convertido","Jan 5, 2024 · 6:19 AM UTC",overwhelmed,scared
@my25thour,me siento muy abrumado,"Jan 5, 2024 · 5:30 AM UTC",overwhelmed,scared
@JorgeD1428,"Consejo  que nadie pidió:  Si un día te sientes abrumado, triste, enojado, ansioso…   Cierra tus ojos, y piérdete en tu respiración","Jan 5, 2024 · 4:57 AM UTC",overwhelmed,scared
@marceccg,"Y entonces aprendimos que si está desbordado y ni él se aguanta es por dos razones: hambre o sueño. Hoy resultó ser la segunda y ya, hijo dormido a las 8 p. m.  🥳","Jan 6, 2024 · 2:18 AM UTC",overwhelmed,scared
@_VicMartino,NADA se va a solucionar sin una ley anti fake news. El manejo de la información está absolutamente desbordado.,"Jan 5, 2024 · 9:22 PM UTC",overwhelmed,scared
@GinoMonty,"Yo lo que veo en este presidente es un ego desbordado, un aire de superioridad y bastantante indolencia sobre la tragedia que vive el pais.","Jan 5, 2024 · 9:13 PM UTC",overwhelmed,scared
@Elfabripa2,estoy desbordado,"Jan 5, 2024 · 8:33 PM UTC",overwhelmed,scared
@thomymz,Dios estoy desbordado,"Jan 5, 2024 · 8:27 PM UTC",overwhelmed,scared
@JoniToujan10,Desbordado de felicidad y de ansiedad🥹🫶🏽,"Jan 5, 2024 · 8:24 PM UTC",overwhelmed,scared
@brachn,"Termino de lavar la loza,tomo un vaso de agua y ya esta desbordado de platos y ollas sucias","Jan 5, 2024 · 7:25 PM UTC",overwhelmed,scared
@hpititiminisky,Las consecuencias de lo que se viene haciendo desde 2002 hasta ahora:  Default Sin justicia Hiperinflacion Infraestructura destruida Endeudamiento Gasto publico desbordado Carga tributaria confiscatoria Regulaciones que violan la constitucion,"Jan 5, 2024 · 6:41 PM UTC",overwhelmed,scared
@CryptoB57982,"""Simplemente obstruí un poco mi inodoro y comenzó desbordado y tuve un ataque de pánico así que usé el émbolo que fue tan jodidamente tonto porque luego comenzó a desbordarse aún más y luego comencé temblando y fue a poner toallas alrededor del fondo de el baño lo cual me hace-","Jan 5, 2024 · 6:36 PM UTC",overwhelmed,scared
@rufianmelancoli,Pones jazz quesque para relajarte y todo es un sonidero desbordado para todos lados.  Ya mejor le cambio a canciones de Celine Dion.,"Jan 5, 2024 · 6:31 PM UTC",overwhelmed,scared
@Juanmamlardon,"Como ha dicho él mismo es importante ver cómo se levanta mañana. El músculo debe estar muy sobrecargado tras casi 4 horas pero si no nota mucho más es posible que no haya rotura ni desgarro, porque eso se debe notar (o no)... En 10 días empieza Australia #BrisbaneTennis","Jan 5, 2024 · 2:58 PM UTC",overwhelmed,scared
@HagovProvincia,"Vivir en ignorancia aporta mas tranquilidad, pero es mejor estar sobrecargado de información y ser pragmatico y coherente con la misma, antes que vivir en una burbuja sin saber lo que acontece a nuestro alrededor.  Un incendio te va a quemar por mas que lo ignores con Vehemencia.","Jan 5, 2024 · 2:29 AM UTC",overwhelmed,scared
@birdie_belen,Qué día más sobrecargado de emoción. No me den más días así que sobrepienso.,"Jan 5, 2024 · 12:45 AM UTC",overwhelmed,scared
@kysiiseung,"ya le dije q me escriba cuando qiera, si no lo quiere hacer yo no le voy a andar rogando, ando sobrecargado de cosas que lo único que puedo hacer es responder de a ratos","Jan 4, 2024 · 4:25 PM UTC",overwhelmed,scared
@EruDruida,Hoy si   El chisme anda sobrecargado,"Jan 4, 2024 · 6:35 AM UTC",overwhelmed,scared
@vivianavega_,"No hay nada de malo en llorar por un mal día, por estrés sobrecargado de la Universidad o el trabajo, por problemas personales o por el motivo que quieran. Si usted quiere llorar, hágalo donde quiera y a la hora que quiera, libérese de ese peso que solo USTED entiende.","Jan 4, 2024 · 5:45 AM UTC",overwhelmed,scared
@YoouurrMama,"Acaban de soltar la lista de clientes del Pedófilo Epstein y el site está sobrecargado. El mundo entero pendiente a ver los nombres de Pedófilos desgraciados que violaron y traficaron niños. 🤬🐷 Obvio, salió Bill Clinton y Prince Andrew. Asquerosos Cerdos 🐽","Jan 4, 2024 · 12:56 AM UTC",overwhelmed,scared
@rafabravo,"Han conseguido lo más dificil, no han arreglado el problema en los centros donde había sobrecarga y han sobrecargado los centros donde no había problemas","Jan 3, 2024 · 10:27 AM UTC",overwhelmed,scared
@AlexDia44068943,"Eliminado cosas de mi galería me di cuenta de lo quemado que estaba mental, físicamente y en todo sentidos, de lo sobrecargado que estaba en todo momento. Del llanto que se me salía de la nada por qué sentía que ya no podía más.","Jan 2, 2024 · 12:00 PM UTC",overwhelmed,scared
@inmywonyoungism,"ME ESTÁN DICIENDO QUE MI MAQUILLAJE ES MUY SOBRECARGADO, ellos no entienden que nunca es suficiente brillo en los ojos","Dec 31, 2023 · 11:20 PM UTC",overwhelmed,scared
@lanauwu,"Desbordante y efervescente, pero a qué costo?","Jan 6, 2024 · 2:05 AM UTC",overwhelmed,scared
@Juandelpicapie1,"Llenita de pueblo va a estar la ""cena en el conrad"" de yamandu. Desbordante de humildad.  Oddone seguro va.. Cpa ferrere le paga el costoso ticket Capaz habla de ajuste o mal del plebiscito  A  U$10000 la mesa, para además escuchar al cheto de Vilaro  Realmente, bien de izquierda","Jan 6, 2024 · 1:43 AM UTC",overwhelmed,scared
@SeleneSenaa,También me veo cantando a corazón desbordante  todos los temas de Floricienta,"Jan 5, 2024 · 11:30 PM UTC",overwhelmed,scared
@Cecimoreeno,"Ando en mi romantic era ❤️‍🔥 Alv el dolor, bienvenido el amor desbordante","Jan 5, 2024 · 7:11 PM UTC",overwhelmed,scared
@irenepfenty,"Viendo la cabalgata con ilusión desbordante desde Oban, costa oeste de Escocia! Irene, Dani y Pelusa 🐶#CabalgataRTVE","Jan 5, 2024 · 6:57 PM UTC",overwhelmed,scared
@AbgVanegas,"La desbordante corrupción, al infiltrarse en la estructura del poder, ha resultado devastadora. La lucha contra este fenómeno ha utilizado tácticas persecutorias propias de sistemas políticos cerrados. Disminuir la corrupción implica revitalizar el sistema constitucional, una tarea que solo puede lograrse mediante innovaciones institucionales. La consulta popular debería ser una oportunidad para avanzar en esta dirección.","Jan 5, 2024 · 5:32 PM UTC",overwhelmed,scared
@stic_1299,"VIERNES 5 DE ENERO: AMADO DIOS, en este nuevo amanecer, elevo mi corazón hacia Ti con gratitud desbordante. Gracias por el regalo de un día más de vida. Amén 🙏🙏🙏","Jan 5, 2024 · 11:59 AM UTC",overwhelmed,scared
